callsign,callsign say,airplane type,from (ICAO),to (ICAO),arrive time,departure time,approach altitude override (feet),school (stop and go),School ( touch and go),School (low approach),color,special
EFD48,EVER FLIGHT FOUR EIGHT,BIZ0,EDDH,EDDS,04:30,,,0,0,0,Default,
AHO71,AIR HAMBURG SEVEN ONE,BIZ0,LPFR,EDDS,04:51,,,0,0,0,Default,
DCS403,TWIN STAR FOUR ZERO THREE,BIZ0,LSGG,EDDS,04:58,,,0,0,0,Default,
ECA677,DARK KNIGHT SIX SEVEN SEVEN,BTRP,EGBB,EDDS,05:13,,,0,0,0,Default,
BTX430,BEETLE FOUR THREE ZERO,BIZ0,ETSI,EDDS,05:24,,,0,0,0,Default,
TIH486,TIRIAC AIR FOUR EIGHT SIX,BIZ0,LFSB,EDDS,05:58,,,0,0,0,Default,
BTX93,BEETLE NINER THREE,DPRP,EDVE,EDDS,06:14,,,0,0,0,Default,
DWW667,DELTA WHISKEY WHISKY SIX SIX SEVEN,BIZ0,LGAV,EDDS,06:20,,,0,0,0,Default,
D-X0P6,DELTA X-RAY ZERO PAPA SIX,DPRP,EDQM,EDDS,06:52,,,0,0,0,Default,
ECA17,DARK KNIGHT ONE SEVEN,BTRP,EGBB,EDDS,07:25,,,0,0,0,Default,
BTX18,BEETLE ONE EIGHT,DPRP,EDVE,EDDS,07:34,,,0,0,0,Default,
VM80JJ,VICTOR MIKE EIGHT ZERO JULIETT JULIETT,DPRP,EINN,EDDS,07:54,,,0,0,0,Default,
AHO348,AIR HAMBURG THREE FOUR EIGHT,BIZ0,LPFR,EDDS,08:18,,,0,0,0,Default,
AHO223,AIR HAMBURG TWO TWO THREE,BIZ0,LPFR,EDDS,08:46,,,0,0,0,Default,
DWW84,DELTA WHISKEY WHISKY EIGHT FOUR,BIZ0,EDNY,EDDS,08:54,,,0,0,0,Default,
D-XJ0A,DELTA X-RAY JULIETT ZERO ALPHA,DPRP,EDKB,EDDS,09:31,,,0,0,0,Default,
DCS27,TWIN STAR TWO SEVEN,DPRP,OOMS,EDDS,09:34,,,0,0,0,Default,
BTX64,BEETLE SIX FOUR,DPRP,EDVE,EDDS,09:38,,,0,0,0,Default,
D-7X8T,DELTA SEVEN X-RAY EIGHT TANGO,DPRP,EDDS,EDDS,10:10,,,0,0,0,Default,
VM66GT,VICTOR MIKE SIX SIX GOLF TANGO,DPRP,EINN,EDDS,10:55,,,0,0,0,Default,
FRF11,FAIR FLEET ONE ONE,BTRP,ESGJ,EDDS,10:59,,,0,0,0,Default,
DCS33,TWIN STAR THREE THREE,DPRP,OOMS,EDDS,11:09,,,0,0,0,Default,
D-APKZ,DELTA ALPHA PAPA KILO ZULU,BIZ0,EDDK,EDDS,11:37,,,0,0,0,Default,
VM480FY,VICTOR MIKE FOUR EIGHT ZERO FOXTROT YANKEE,DPRP,EINN,EDDS,11:53,,,0,0,0,Default,
EFD243,EVER FLIGHT TWO FOUR THREE,BIZ0,EDSB,EDDS,12:08,,,0,0,0,Default,
FHG770,FLYING HOPE SEVEN SEVEN ZERO,DPRP,ETNL,EDDS,12:39,,,0,0,0,Default,
DCS66,TWIN STAR SIX SIX,DPRP,OOMS,EDDS,12:44,,,0,0,0,Default,
FHG80,FLYING HOPE EIGHT ZERO,DPRP,ETNL,EDDS,13:13,,,0,0,0,Default,
JBC856,JET BEE EIGHT FIVE SIX,DPRP,EGKB,EDDS,13:51,,,0,0,0,Default,
D-44EC,DELTA FOUR FOUR ECHO CHARLIE,DPRP,EDKB,EDDS,13:59,,,0,0,0,Default,
D-HMHN,DELTA HOTEL MIKE HOTEL NOVEMBER,DPRP,EDDS,EDDS,14:15,,,0,0,0,Default,
FHG85,FLYING HOPE EIGHT FIVE,DPRP,EDFY,EDDS,14:26,,,0,0,0,Default,
D-0E7J,DELTA ZERO ECHO SEVEN JULIETT,BIZ0,EDVK,EDDS,14:42,,,0,0,0,Default,
BTX73,BEETLE SEVEN THREE,DPRP,EDVE,EDDS,15:26,,,0,0,0,Default,
EFD11,EVER FLIGHT ONE ONE,BIZ0,EDSB,EDDS,15:26,,,0,0,0,Default,
VM864DV,VICTOR MIKE EIGHT SIX FOUR DELTA VICTOR,DPRP,EKCH,EDDS,15:29,,,0,0,0,Default,
VM60BP,VICTOR MIKE SIX ZERO BRAVO PAPA,DPRP,EKCH,EDDS,16:18,,,0,0,0,Default,
D-06SW,DELTA ZERO SIX SIERRA WHISKEY,DPRP,EDQM,EDDS,16:37,,,0,0,0,Default,
TIE350,TIME AIR THREE FIVE ZERO,BIZ0,EDDK,EDDS,16:43,,,0,0,0,Default,
TIH951,TIRIAC AIR NINER FIVE ONE,BIZ0,LFSB,EDDS,17:16,,,0,0,0,Default,
TIE132,TIME AIR ONE THREE TWO,BIZ0,EDDK,EDDS,17:30,,,0,0,0,Default,
GRB12,GRAY BIRD ONE TWO,BIZ0,LERT,EDDS,17:41,,,0,0,0,Default,
EFD727,EVER FLIGHT SEVEN TWO SEVEN,BIZ0,LOWW,EDDS,18:12,,,0,0,0,Default,
D-LCEL,DELTA LIMA CHARLIE ECHO LIMA,DPRP,EDDS,EDDS,18:41,,,0,0,0,Default,
