operator(color),airline (callsign),flight number,airplane type,from  (ICAO),to (ICAO),approach time,departure time,approach altitude override (feet),special
ANG,ANG,1739,EJT1,EPWA,EDDS,04:00,,,
RAA,RAA,8105,EJT1,LGKV,EDDS,04:08,,,
MAX,MAX,2283,EJT1,LTFM,EDDS,04:14,,,
EMF,EMF,9628,EJT1,LFPG,EDDS,04:18,,,cargo
UAX,UAX,1597,EJT1,LOWW,EDDS,04:20,,,
RAA,RAA,4417,EJT1,ESSA,EDDS,04:33,,,
RAA,RAA,1131,EJT1,LEVC,EDDS,04:34,,,
RAA,RAA,2873,EJT1,GCTS,EDDS,04:36,,,
MAX,MAX,7284,EJT1,LTAI,EDDS,04:37,,,
EMF,EMF,3843,EJT1,EDDK,EDDS,04:40,,,cargo
RAA,RAA,9653,EJT1,EDDH,EDDS,04:42,,,
RAA,RAA,7034,EJT1,GCLP,EDDS,04:44,,,
CBA,CBA,6668,FRJ1,EHAM,EDDS,04:46,,,
RAA,RAA,8759,EJT1,LICC,EDDS,04:59,,,
LAW,LAW,4097,FRJ1,EKCH,EDDS,05:05,,,
VAL,VAL,1842,EJT1,HEGN,EDDS,05:21,,,
RAA,RAA,2882,EJT1,LEPA,EDDS,05:24,,,
RAA,RAA,8827,EJT1,GCFV,EDDS,05:31,,,
RAA,RAA,2811,EJT1,EGLL,EDDS,05:31,,,
RAA,RAA,1267,EJT1,EHAM,EDDS,05:32,,,
RAA,RAA,3623,EJT1,LGRP,EDDS,05:36,,,
RAA,RAA,2620,EJT1,LIMC,EDDS,05:40,,,
EMF,EMF,7284,EJT1,EBLG,EDDS,05:44,,,cargo
EMF,EMF,5290,EJT1,LFPG,EDDS,05:48,,,cargo
DEN,DEN,7555,AJT0,KATL,EDDS,05:53,,,
RAA,RAA,7670,EJT1,LGRP,EDDS,05:55,,,
RAA,RAA,7472,EJT1,EDDW,EDDS,05:55,,,
RAA,RAA,800,EJT1,LOWG,EDDS,05:58,,,
CBA,CBA,9150,EJT1,LGAV,EDDS,06:00,,,
CBA,CBA,7433,EJT1,EHAM,EDDS,06:01,,,
EMF,EMF,1473,EJT1,EBLG,EDDS,06:20,,,cargo
LAW,LAW,4506,FRJ1,EKCH,EDDS,06:20,,,
LAW,LAW,6702,EJT1,EGLL,EDDS,06:26,,,
RAA,RAA,6064,EJT1,LICC,EDDS,06:29,,,
CBA,CBA,7291,EJT1,EHAM,EDDS,06:30,,,
RAA,RAA,9492,EJT1,LHBP,EDDS,06:32,,,
DEN,DEN,7222,EJT1,EDDF,EDDS,06:34,,,
RAA,RAA,6741,EJT1,EDDH,EDDS,06:35,,,
RAA,RAA,8580,EJT1,LROP,EDDS,06:38,,,
CBA,CBA,2380,FRJ1,EHAM,EDDS,06:41,,,
EMF,EMF,8836,AJT0,EDDP,EDDS,06:48,,,cargo
CBA,CBA,7924,EJT1,EHAM,EDDS,06:55,,,
RAA,RAA,3691,EJT1,LOWW,EDDS,07:02,,,
EMF,EMF,4280,EJT1,LFPG,EDDS,07:05,,,cargo
RAA,RAA,6084,EJT1,LIRF,EDDS,07:14,,,
RAA,RAA,3446,EJT1,LIRF,EDDS,07:16,,,
DEN,DEN,947,EJT1,EDDF,EDDS,07:18,,,
EMF,EMF,3312,EJT1,EDDK,EDDS,07:22,,,cargo
VAL,VAL,481,EJT1,LTFJ,EDDS,07:27,,,
