callsign,callsign say,airplane type,from (ICAO),to (ICAO),arrive time,departure time,approach altitude override (feet),school (stop and go),School ( touch and go),School (low approach),color,special
AHO85,AIR HAMBURG EIGHT FIVE,BIZ0,LPFR,EDDS,04:20,,,0,0,0,Default,
AHO530,AIR HAMBURG FIVE THREE ZERO,BIZ0,LPFR,EDDS,05:16,,,0,0,0,Default,
EFD275,EVER FLIGHT TWO SEVEN FIVE,BIZ0,EDSB,EDDS,05:21,,,0,0,0,Default,
DCS446,TWIN STAR FOUR FOUR SIX,DPRP,OOMS,EDDS,06:00,,,0,0,0,Default,
FHG61,FLYING HOPE SIX ONE,DPRP,EDFY,EDDS,07:41,,,0,0,0,Default,
VM83LH,VICTOR MIKE EIGHT THREE LIMA HOTEL,DPRP,EKCH,EDDS,08:20,,,0,0,0,Default,
FRF332,FAIR FLEET THREE THREE TWO,BTRP,ESGJ,EDDS,09:40,,,0,0,0,Default,
BTX58,BEETLE FIVE EIGHT,DPRP,EDVE,EDDS,10:05,,,0,0,0,Default,
JBC894,JET BEE EIGHT NINER FOUR,DPRP,EGKB,EDDS,10:07,,,0,0,0,Default,
VM302IP,VICTOR MIKE THREE ZERO TWO INDIA PAPA,DPRP,EINN,EDDS,11:14,,,0,0,0,Default,
VM69KK,VICTOR MIKE SIX NINER KILO KILO,DPRP,EINN,EDDS,11:24,,,0,0,0,Default,
VM69IX,VICTOR MIKE SIX NINER INDIA X-RAY,DPRP,EINN,EDDS,12:24,,,0,0,0,Default,
JBC69,JET BEE SIX NINER,DPRP,EGKB,EDDS,12:29,,,0,0,0,Default,
AHO956,AIR HAMBURG NINER FIVE SIX,BIZ0,LPFR,EDDS,13:11,,,0,0,0,Default,
FRF997,FAIR FLEET NINER NINER SEVEN,BTRP,ESGJ,EDDS,13:57,,,0,0,0,Default,
EFD598,EVER FLIGHT FIVE NINER EIGHT,BIZ0,EDDH,EDDS,14:18,,,0,0,0,Default,
AHO14,AIR HAMBURG ONE FOUR,BIZ0,LPFR,EDDS,14:31,,,0,0,0,Default,
D-L3KK,DELTA LIMA THREE KILO KILO,DPRP,EDDS,EDDS,15:44,,,0,0,0,Default,
D-R831,DELTA ROMEO EIGHT THREE ONE,DPRP,EDDS,EDDS,15:54,,,0,0,0,Default,
FHG78,FLYING HOPE SEVEN EIGHT,DPRP,EDFY,EDDS,16:16,,,0,0,0,Default,
EFD624,EVER FLIGHT SIX TWO FOUR,BIZ0,EDSB,EDDS,16:56,,,0,0,0,Default,
FRF68,FAIR FLEET SIX EIGHT,BTRP,ESGJ,EDDS,17:25,,,0,0,0,Default,
TIE924,TIME AIR NINER TWO FOUR,BIZ0,EDDK,EDDS,17:47,,,0,0,0,Default,
FRF560,FAIR FLEET FIVE SIX ZERO,BTRP,ESGJ,EDDS,18:05,,,0,0,0,Default,
AHO669,AIR HAMBURG SIX SIX NINER,BIZ0,LPFR,EDDS,18:45,,,0,0,0,Default,
AHO90,AIR HAMBURG NINER ZERO,BIZ0,LPFR,EDDS,19:17,,,0,0,0,Default,
GRB308,GRAY BIRD THREE ZERO EIGHT,BIZ0,LERT,EDDS,19:30,,,0,0,0,Default,
EFD10,EVER FLIGHT ONE ZERO,BIZ0,EDSB,EDDS,20:04,,,0,0,0,Default,
VM770RO,VICTOR MIKE SEVEN SEVEN ZERO ROMEO OSCAR,DPRP,EKCH,EDDS,20:43,,,0,0,0,Default,
VM838SR,VICTOR MIKE EIGHT THREE EIGHT SIERRA ROMEO,DPRP,EINN,EDDS,21:10,,,0,0,0,Default,
GRB665,GRAY BIRD SIX SIX FIVE,BIZ0,LERT,EDDS,21:16,,,0,0,0,Default,
D-TY9P,DELTA TANGO YANKEE NINER PAPA,BIZ0,EDDK,EDDS,22:18,,,0,0,0,Default,
JBC219,JET BEE TWO ONE NINER,DPRP,EDDS,EGKB,,05:32,,0,0,0,Default,
FRF59,FAIR FLEET FIVE NINER,BIZ0,EDDS,EGBB,,06:57,,0,0,0,Default,
AHO210,AIR HAMBURG TWO ONE ZERO,BIZ0,EDDS,LPFR,,07:46,,0,0,0,Default,
AHO326,AIR HAMBURG THREE TWO SIX,BIZ0,EDDS,LPFR,,08:33,,0,0,0,Default,
FRF180,FAIR FLEET ONE EIGHT ZERO,BTRP,EDDS,ESGJ,,09:07,,0,0,0,Default,
VM39XC,VICTOR MIKE THREE NINER X-RAY CHARLIE,DPRP,EDDS,EKCH,,12:34,,0,0,0,Default,
D-B95A,DELTA BRAVO NINER FIVE ALPHA,DPRP,EDDS,EDDS,,17:58,,0,0,0,Default,
