operator(color),airline (callsign),flight number,airplane type,from  (ICAO),to (ICAO),approach time,departure time,approach altitude override (feet),special
RAA,RAA,1608,EJT1,LFPG,EDDS,23:33,,,
RAA,RAA,2673,EJT1,LGIR,EDDS,23:30,,,
RAA,RAA,5713,EJT1,BKPR,EDDS,23:27,,,
BTV,BTV,2175,EJT1,GCFV,EDDS,23:24,,,
RAA,RAA,2785,EJT1,LHBP,EDDS,23:08,,,
RAA,RAA,2581,EJT1,LEPA,EDDS,23:07,,,
RAA,RAA,2883,EJT1,LIRF,EDDS,23:06,,,
TGB,TGB,2152,FRJ1,EDDM,EDDS,22:56,,,
DEN,DEN,136,EJT1,EDDF,EDDS,22:50,,,
RAA,RAA,2521,EJT1,LEBL,EDDS,22:39,,,
LAW,LAW,922,EJT1,EGLL,EDDS,22:32,,,
RAA,RAA,2823,EJT1,LIMC,EDDS,22:30,,,
RAA,RAA,2035,EJT1,EDDW,EDDS,22:23,,,
RAA,RAA,2885,EJT1,LIRF,EDDS,22:20,,,
CBA,CBA,1879,EJT1,EHAM,EDDS,22:16,,,
RAA,RAA,2757,EJT1,LOWW,EDDS,22:07,,,
RAA,RAA,2695,EJT1,LGRP,EDDS,21:57,,,
RAA,RAA,2043,EJT1,EDDH,EDDS,21:55,,,
RAA,RAA,2743,EJT1,LOWG,EDDS,21:52,,,
BTV,BTV,6255,EJT1,GVAC,EDDS,21:51,,,
RAA,RAA,2535,EJT1,GCTS,EDDS,21:47,,,
BTV,BTV,2219,EJT1,GCTS,EDDS,21:42,,,
RAA,RAA,2465,EJT1,EGLL,EDDS,21:40,,,
MAX,MAX,1709,EJT1,LTFM,EDDS,21:37,,,
RAA,RAA,2021,EJT1,EDDB,EDDS,21:23,,,
LAW,LAW,920,EJT1,EGLL,EDDS,21:05,,,
TAB,TAB,344,EJT1,LYBE,EDDS,20:50,,,
MAX,MAX,150,EJT1,LTAI,EDDS,20:47,,,
VAL,VAL,217,EJT1,HEGN,EDDS,20:35,,,
RAA,RAA,2461,EJT1,EGLL,EDDS,20:06,,,
RAA,RAA,7048,EJT1,EDDH,EDDS,19:45,,,
RAA,RAA,1866,EJT1,LEBL,EDDS,19:38,,,
RAA,RAA,8006,EJT1,EDDB,EDDS,19:35,,,
RAA,RAA,5045,EJT1,LTAI,EDDS,19:12,,,
RAA,RAA,2595,EJT1,LEIB,EDDS,19:01,,,
CBA,CBA,510,EJT1,LGTS,EDDS,19:00,,,
UAX,UAX,187,EJT1,LOWW,EDDS,18:58,,,
MAX,MAX,790,EJT1,LTAC,EDDS,18:55,,,
ANG,ANG,373,EJT1,EPWA,EDDS,18:53,,,
RAA,RAA,4606,EJT1,ESSA,EDDS,18:50,,,
RAA,RAA,2431,EJT1,LIPZ,EDDS,18:48,,,
TGB,TGB,1174,EJT1,LSZH,EDDS,18:43,,,
RAA,RAA,2019,EJT1,EDDB,EDDS,18:40,,,
RAA,RAA,2683,EJT1,LGTS,EDDS,18:25,,,
RAA,RAA,2583,EJT1,LEPA,EDDS,18:21,,,
PAV,PAV,2952,EJT1,HEMA,EDDS,18:16,,,
RAA,RAA,2689,EJT1,LGKV,EDDS,18:13,,,
RAA,RAA,2181,EJT1,EHAM,EDDS,18:00,,,
MAX,MAX,1705,EJT1,LTFM,EDDS,17:58,,,
TGB,TGB,448,EJT1,LIML,EDDS,17:53,,,
TGB,TGB,132,EJT1,EDDF,EDDS,17:50,,,
RAA,RAA,2585,EJT1,LEPA,EDDS,17:42,,,
CBA,CBA,1875,EJT1,EHAM,EDDS,17:35,,,
CBA,CBA,808,EJT1,LGAV,EDDS,17:34,,,
LAW,LAW,3703,EJT1,LTAI,EDDS,17:20,,,
LAW,LAW,2148,FRJ1,EDDM,EDDS,17:17,,,
RAA,RAA,971,EJT1,LTFJ,EDDS,17:07,,,
RAA,RAA,2263,EJT1,GCLP,EDDS,17:03,,,
RAA,RAA,2037,EJT1,EDDH,EDDS,17:00,,,
VAL,VAL,6062,EJT1,BKPR,EDDS,16:54,,,
RAA,RAA,2247,EJT1,GCFV,EDDS,16:51,,,
RAA,RAA,2589,EJT1,LEPA,EDDS,16:12,,,
RAA,RAA,8004,EJT1,EDDB,EDDS,15:51,,,
RAA,RAA,7042,EJT1,EDDH,EDDS,15:44,,,
MAX,MAX,152,EJT1,LTAI,EDDS,15:39,,,
VAL,VAL,7752,EJT1,LTFM,EDDS,15:36,,,
RAA,RAA,2531,EJT1,LEVC,EDDS,15:30,,,
RAA,RAA,1408,EJT1,LFPG,EDDS,15:23,,,
RAA,RAA,2861,EJT1,LIRN,EDDS,15:14,,,
RAA,RAA,2597,EJT1,LEPA,EDDS,14:52,,,
PAV,PAV,2950,EJT1,HEGN,EDDS,14:50,,,
MAX,MAX,1703,EJT1,LTFM,EDDS,14:35,,,
DEN,DEN,52,BIZ0,LEIB,EDDS,14:29,,,
FRT,FRT,1168,EJT1,LSZH,EDDS,14:18,,,
DEN,DEN,130,EJT1,EDDF,EDDS,14:16,,,
CBA,CBA,1873,EJT1,EHAM,EDDS,14:13,,,
MAX,MAX,972,EJT1,LTBJ,EDDS,14:11,,,
RAA,RAA,1621,EJT1,LTAU,EDDS,13:54,,,
FRT,FRT,261,EJT1,EVRA,EDDS,13:47,,,
RAA,RAA,2965,EJT1,LDSP,EDDS,13:33,,,
RAA,RAA,2605,EJT1,LPPT,EDDS,13:14,,,
RAA,RAA,969,EJT1,LTFJ,EDDS,13:11,,,
RAA,RAA,2649,EJT1,LPFR,EDDS,13:06,,,
