"operator(color)","airline (callsign)","flight number","airplane type","from  (ICAO)","to (ICAO)","approach time","departure time","approach altitude override (feet)","special"
VAL,VAL,6522,FRJ1,KORD,KRDU,04:03,,,
DEN,DEN,3759,EJT1,KCLT,KRDU,04:06,,,
VAL,VAL,1992,EJT1,KBWI,KRDU,04:13,,,
TAB,TAB,4017,EJT1,KMDW,KRDU,04:17,,,
VAL,VAL,6067,EJT1,LFPG,KRDU,04:17,,,
MAX,MAX,3303,FRJ1,KEWN,KRDU,04:19,,,
MAX,MAX,5883,FRJ1,KMCO,KRDU,04:22,,,
VAL,VAL,9821,BTRP,KDEN,KRDU,04:23,,,
TAB,TAB,1702,FRJ1,KBWI,KRDU,04:29,,,
DEN,DEN,8048,EJT1,MDPC,KRDU,04:33,,,
TAB,TAB,4668,FRJ1,KBNA,KRDU,04:37,,,
VAL,VAL,2028,EJT1,KDCA,KRDU,04:44,,,
TAB,TAB,3030,FRJ1,KBNA,KRDU,04:46,,,
TAB,TAB,558,EJT1,KATL,KRDU,04:55,,,
VAL,VAL,2825,EJT1,KJFK,KRDU,04:58,,,
FRT,FRT,9387,EJT1,KATL,KRDU,04:59,,,
MAX,MAX,4123,FRJ1,KJFK,KRDU,05:00,,,
VAL,VAL,5717,EJT1,KJFK,KRDU,05:01,,,
MAX,MAX,6259,FRJ1,KJFK,KRDU,05:03,,,
DEN,DEN,1554,FRJ1,KJFK,KRDU,05:04,,,
VAL,VAL,9282,EJT1,KDCA,KRDU,05:08,,,
MAX,MAX,1922,FRJ1,KATL,KRDU,05:11,,,
TAB,TAB,6147,EJT1,KLAX,KRDU,05:11,,,
VAL,VAL,6392,EJT1,TJSJ,KRDU,05:13,,,
VAL,VAL,3073,EJT1,KFLL,KRDU,05:13,,,
VAL,VAL,1759,EJT1,KMIA,KRDU,05:22,,,
VAL,VAL,8605,FRJ1,KTLH,KRDU,05:26,,,
MAX,MAX,3466,FRJ1,KPIT,KRDU,05:26,,,
TAB,TAB,4382,EJT1,KATL,KRDU,05:34,,,
VAL,VAL,6381,EJT1,KCMH,KRDU,05:38,,,
DEN,DEN,2516,FRJ1,KJFK,KRDU,05:40,,,
TAB,TAB,4570,EJT1,KATL,KRDU,05:42,,,
MAX,MAX,8740,FRJ1,KAUS,KRDU,05:43,,,
MAX,MAX,1763,FRJ1,KEWN,KRDU,05:44,,,
MAX,MAX,7130,FRJ1,KEWR,KRDU,05:45,,,
FRT,FRT,6170,EJT1,KSEA,KRDU,05:51,,,
FRT,FRT,7054,EJT1,KMCO,KRDU,06:00,,,
MAX,MAX,9032,FRJ1,KSLC,KRDU,06:02,,,
VAL,VAL,9435,FRJ1,KMCO,KRDU,06:05,,,
MAX,MAX,8724,FRJ1,KJFK,KRDU,06:06,,,
DEN,DEN,2330,EJT1,EGLL,KRDU,06:08,,,
MAX,MAX,8808,FRJ1,KDTW,KRDU,06:16,,,
TAB,TAB,146,FRJ1,KEWR,KRDU,06:20,,,
FRT,FRT,9998,EJT1,KMCO,KRDU,06:29,,,
MAX,MAX,2175,FRJ1,KDCA,KRDU,06:32,,,
VAL,VAL,110,FRJ1,KATL,KRDU,06:33,,,
MAX,MAX,5917,FRJ1,KIAD,KRDU,06:34,,,
FRT,FRT,4491,EJT1,KMCO,KRDU,06:36,,,
TAB,TAB,997,FRJ1,KDCA,KRDU,06:39,,,
MAX,MAX,135,FRJ1,KATL,KRDU,06:41,,,
VAL,VAL,2546,EJT1,KLGA,KRDU,06:44,,,
MAX,MAX,8089,FRJ1,KJFK,KRDU,06:49,,,
MAX,MAX,6185,FRJ1,KDCA,KRDU,06:51,,,
FRT,FRT,8513,EJT1,KLGA,KRDU,06:52,,,
VAL,VAL,3180,EJT1,KCMH,KRDU,06:53,,,
DEN,DEN,331,FRJ1,KFLL,KRDU,06:55,,,
VAL,VAL,8413,BTRP,KDEN,KRDU,06:57,,,
DEN,DEN,1848,EJT1,KTPA,KRDU,06:58,,,
MAX,MAX,9729,FRJ1,KPHL,KRDU,06:58,,,
TAB,TAB,9657,FRJ1,KBOS,KRDU,07:01,,,
TAB,TAB,8050,FRJ1,KBNA,KRDU,07:06,,,
MAX,MAX,3484,FRJ1,KCLT,KRDU,07:08,,,
MAX,MAX,2487,FRJ1,KBNA,KRDU,07:12,,,
FRT,FRT,929,EJT1,KLGA,KRDU,07:13,,,
MAX,MAX,1682,FRJ1,KBOS,KRDU,07:14,,,
MAX,MAX,8227,FRJ1,BIKF,KRDU,07:14,,,
DEN,DEN,3318,FRJ1,KJFK,KRDU,07:16,,,
MAX,MAX,600,FRJ1,KPHL,KRDU,07:20,,,
MAX,MAX,8966,FRJ1,KSDF,KRDU,07:21,,,
MAX,MAX,4098,FRJ1,KSLC,KRDU,07:22,,,
DEN,DEN,7788,EJT1,KMIA,KRDU,07:22,,,
VAL,VAL,1712,FRJ1,KBNA,KRDU,07:23,,,
MAX,MAX,1421,FRJ1,KIAD,KRDU,07:33,,,
MAX,MAX,2919,FRJ1,KBNA,KRDU,07:37,,,
FRT,FRT,6371,EJT1,KMCO,KRDU,07:42,,,
MAX,MAX,2868,FRJ1,KBNA,KRDU,07:42,,,
DEN,DEN,8451,FRJ1,CYYZ,KRDU,07:42,,,
DEN,DEN,5796,EJT1,KMIA,KRDU,07:42,,,
TAB,TAB,1203,EJT1,KMCO,KRDU,07:43,,,
VAL,VAL,6030,FRJ1,KMCO,KRDU,07:52,,,
VAL,VAL,7455,EJT1,KDFW,KRDU,07:58,,,
FRT,FRT,5512,EJT1,KLGA,KRDU,08:00,,,
MAX,MAX,8053,FRJ1,KMCO,KRDU,08:05,,,
FRT,FRT,5227,EJT1,KPHL,KRDU,08:07,,,
MAX,MAX,7929,FRJ1,KEWR,KRDU,08:11,,,
VAL,VAL,3787,EJT1,KHPN,KRDU,08:11,,,
VAL,VAL,6002,EJT1,KDCA,KRDU,08:12,,,
VAL,VAL,8815,FRJ1,KBOS,KRDU,08:13,,,
FRT,FRT,225,EJT1,KDCA,KRDU,08:19,,,
MAX,MAX,8019,FRJ1,KBOS,KRDU,08:21,,,
FRT,FRT,5201,EJT1,KMCO,KRDU,08:21,,,
MAX,MAX,1911,FRJ1,BIKF,KRDU,08:23,,,
MAX,MAX,298,FRJ1,KATL,KRDU,08:23,,,
VAL,VAL,5864,EJT1,KMCO,KRDU,08:24,,,
MAX,MAX,9457,FRJ1,KBNA,KRDU,08:25,,,
MAX,MAX,3343,FRJ1,KMIA,KRDU,08:30,,,
MAX,MAX,8350,FRJ1,KJFK,KRDU,08:30,,,
MAX,MAX,6974,FRJ1,KSLC,KRDU,08:30,,,
DEN,DEN,3052,FRJ1,KFLL,KRDU,08:32,,,
VAL,VAL,6561,EJT1,KDCA,KRDU,08:33,,,
DEN,DEN,6046,EJT1,EGLL,KRDU,08:40,,,
MAX,MAX,9058,FRJ1,KBOS,KRDU,08:40,,,
MAX,MAX,5645,FRJ1,KEWR,KRDU,08:42,,,
MAX,MAX,2501,FRJ1,KAUS,KRDU,08:48,,,
TAB,TAB,6887,EJT1,KBOS,KRDU,08:52,,,
TAB,TAB,5662,EJT1,KMCO,KRDU,08:58,,,
VAL,VAL,5978,EJT1,KLGA,KRDU,09:04,,,
VAL,VAL,9400,EJT1,KMCO,KRDU,09:05,,,
MAX,MAX,1036,FRJ1,KLGA,KRDU,09:06,,,
MAX,MAX,2881,FRJ1,KATL,KRDU,09:07,,,
MAX,MAX,5247,FRJ1,KJFK,KRDU,09:12,,,
MAX,MAX,2679,FRJ1,KATL,KRDU,09:14,,,
DEN,DEN,3795,EJT1,KTTN,KRDU,09:16,,,
TAB,TAB,1442,FRJ1,KDFW,KRDU,09:16,,,
VAL,VAL,8603,EJT1,KMSP,KRDU,09:16,,,
MAX,MAX,8610,FRJ1,KDCA,KRDU,09:18,,,
MAX,MAX,2720,FRJ1,KAUS,KRDU,09:19,,,
MAX,MAX,8841,FRJ1,KIAH,KRDU,09:19,,,
VAL,VAL,9405,EJT1,KSDF,KRDU,09:22,,,
MAX,MAX,5287,FRJ1,BIKF,KRDU,09:24,,,
MAX,MAX,7638,FRJ1,KLGA,KRDU,09:31,,,
MAX,MAX,7914,FRJ1,KORD,KRDU,09:31,,,
MAX,MAX,7603,FRJ1,KBOS,KRDU,09:33,,,
TAB,TAB,8077,FRJ1,KEWR,KRDU,09:34,,,
MAX,MAX,8598,FRJ1,KMIA,KRDU,09:34,,,
LAW,LAW,517,FRJ1,KORF,KRDU,09:35,,,
MAX,MAX,9237,FRJ1,KCLT,KRDU,09:38,,,
DEN,DEN,4196,EJT1,KJFK,KRDU,09:39,,,
VAL,VAL,8699,EJT1,KBOS,KRDU,09:41,,,
MAX,MAX,2011,FRJ1,KLGA,KRDU,09:42,,,
VAL,VAL,5475,EJT1,KMSP,KRDU,09:47,,,
MAX,MAX,1150,FRJ1,KDCA,KRDU,09:48,,,
TAB,TAB,1475,FRJ1,KBNA,KRDU,09:49,,,
MAX,MAX,3666,FRJ1,KBOS,KRDU,09:59,,,
MAX,MAX,1380,FRJ1,KBOS,KRDU,10:01,,,
VAL,VAL,7462,FRJ1,KJFK,KRDU,10:01,,,
TAB,TAB,8829,EJT1,KIAD,KRDU,10:05,,,
DEN,DEN,5510,EJT1,KILM,KRDU,10:06,,,
VAL,VAL,9165,FRJ1,KBOS,KRDU,10:07,,,
VAL,VAL,2402,EJT1,KAUS,KRDU,10:08,,,
FRT,FRT,9881,EJT1,KMCO,KRDU,10:08,,,
TAB,TAB,9380,FRJ1,KEWR,KRDU,10:09,,,
DEN,DEN,7044,FRJ1,KJFK,KRDU,10:11,,,
VAL,VAL,931,FRJ1,KDFW,KRDU,10:12,,,
VAL,VAL,9409,EJT1,KMDW,KRDU,10:14,,,
MAX,MAX,6903,FRJ1,KMIA,KRDU,10:23,,,
TAB,TAB,367,EJT1,KMCO,KRDU,10:25,,,
MAX,MAX,8676,FRJ1,KLGA,KRDU,10:27,,,
TAB,TAB,856,FRJ1,KBNA,KRDU,10:31,,,
VAL,VAL,8854,EJT1,KSDF,KRDU,10:32,,,
MAX,MAX,7985,FRJ1,KPIT,KRDU,10:34,,,
VAL,VAL,6579,EJT1,KPHX,KRDU,10:35,,,
VAL,VAL,8015,EJT1,KIAD,KRDU,10:37,,,
VAL,VAL,1651,EJT1,KDCA,KRDU,10:39,,,
DEN,DEN,7760,EJT1,KEWR,KRDU,10:39,,,
VAL,VAL,1799,EJT1,KBOS,KRDU,10:41,,,
DEN,DEN,2555,EJT1,KATL,KRDU,10:45,,,
DEN,DEN,5191,EJT1,MDPC,KRDU,10:47,,,
VAL,VAL,7962,EJT1,KPHX,KRDU,10:47,,,
TAB,TAB,6157,EJT1,KILM,KRDU,10:48,,,
MAX,MAX,2146,FRJ1,KLGA,KRDU,10:49,,,
MAX,MAX,9491,FRJ1,KMCO,KRDU,10:50,,,
TAB,TAB,7733,EJT1,KIAD,KRDU,10:55,,,
DEN,DEN,6329,EJT1,KEWR,KRDU,11:00,,,
TAB,TAB,5423,EJT1,KMCO,KRDU,11:01,,,
TAB,TAB,8486,FRJ1,KBNA,KRDU,11:02,,,
MAX,MAX,6525,FRJ1,KJFK,KRDU,11:02,,,
MAX,MAX,3293,FRJ1,KIAH,KRDU,11:07,,,
MAX,MAX,4650,FRJ1,KIAH,KRDU,11:08,,,
VAL,VAL,7175,EJT1,BIKF,KRDU,11:09,,,
VAL,VAL,3355,FRJ1,KATL,KRDU,11:10,,,
TAB,TAB,7104,FRJ1,KBOS,KRDU,11:10,,,
MAX,MAX,5907,FRJ1,KIAH,KRDU,11:11,,,
VAL,VAL,1753,BTRP,KLGA,KRDU,11:15,,,
VAL,VAL,6734,EJT1,KMCO,KRDU,11:17,,,
MAX,MAX,8633,FRJ1,KBOS,KRDU,11:20,,,
VAL,VAL,1735,EJT1,KAUS,KRDU,11:21,,,
TAB,TAB,5630,EJT1,KDCA,KRDU,11:22,,,
TAB,TAB,9598,EJT1,KMCO,KRDU,11:24,,,
MAX,MAX,5758,FRJ1,KJFK,KRDU,11:27,,,
DEN,DEN,9872,EJT1,KMIA,KRDU,11:29,,,
MAX,MAX,6638,FRJ1,KBNA,KRDU,11:33,,,
TAB,TAB,5767,FRJ1,CYYZ,KRDU,11:39,,,
FRT,FRT,7674,EJT1,KATL,KRDU,11:40,,,
TAB,TAB,9944,FRJ1,KEWR,KRDU,11:41,,,
DEN,DEN,2940,EJT1,KCLT,KRDU,11:42,,,
MAX,MAX,5082,FRJ1,KEWR,KRDU,11:47,,,
VAL,VAL,1201,FRJ1,KTLH,KRDU,11:47,,,
MAX,MAX,6937,FRJ1,KDEN,KRDU,11:47,,,
FRT,FRT,6777,EJT1,KLGA,KRDU,11:48,,,
MAX,MAX,6563,FRJ1,KDCA,KRDU,11:49,,,
TAB,TAB,7717,EJT1,KATL,KRDU,11:49,,,
MAX,MAX,9606,FRJ1,KJFK,KRDU,11:56,,,
MAX,MAX,3041,FRJ1,KLGA,KRDU,11:58,,,
VAL,VAL,6584,EJT1,CYYZ,KRDU,12:00,,,
MAX,MAX,6719,FRJ1,KEWR,KRDU,12:00,,,
TAB,TAB,6739,EJT1,KMCO,KRDU,12:01,,,
MAX,MAX,9661,FRJ1,KBWI,KRDU,12:01,,,
VAL,VAL,9426,FRJ1,CYYZ,KRDU,12:07,,,
VAL,VAL,3740,EJT1,KDCA,KRDU,12:09,,,
MAX,MAX,9549,FRJ1,KCLT,KRDU,12:12,,,
MAX,MAX,2310,FRJ1,KPHL,KRDU,12:15,,,
FRT,FRT,7387,EJT1,KSEA,KRDU,12:17,,,
FRT,FRT,3731,EJT1,KDCA,KRDU,12:18,,,
MAX,MAX,8095,FRJ1,KIAD,KRDU,12:20,,,
MAX,MAX,1262,FRJ1,KORD,KRDU,12:21,,,
TAB,TAB,2716,EJT1,KILM,KRDU,12:22,,,
TAB,TAB,5422,EJT1,KBOS,KRDU,12:22,,,
MAX,MAX,3964,FRJ1,KBOS,KRDU,12:26,,,
VAL,VAL,8969,FRJ1,KJFK,KRDU,12:28,,,
MAX,MAX,2477,FRJ1,KBOS,KRDU,12:31,,,
VAL,VAL,9434,EJT1,KLGA,KRDU,12:32,,,
FRT,FRT,3325,EJT1,KMCO,KRDU,12:32,,,
TAB,TAB,6048,FRJ1,KLGA,KRDU,12:33,,,
MAX,MAX,1001,FRJ1,KMIA,KRDU,12:42,,,
MAX,MAX,9928,FRJ1,KMCO,KRDU,12:42,,,
TAB,TAB,1351,EJT1,KMCO,KRDU,12:43,,,
TAB,TAB,8100,EJT1,KEWR,KRDU,12:44,,,
VAL,VAL,9302,EJT1,KLGA,KRDU,12:44,,,
MAX,MAX,7330,FRJ1,KDCA,KRDU,12:50,,,
DEN,DEN,3188,EJT1,MDPC,KRDU,12:54,,,
MAX,MAX,6801,FRJ1,KJFK,KRDU,12:54,,,
VAL,VAL,2046,EJT1,KCLT,KRDU,12:58,,,
VAL,VAL,2744,EJT1,KIAD,KRDU,13:00,,,
TAB,TAB,3,FRJ1,KBOS,KRDU,13:01,,,
TAB,TAB,1139,EJT1,KLAX,KRDU,13:03,,,
MAX,MAX,3622,FRJ1,KBOS,KRDU,13:04,,,
VAL,VAL,1126,EJT1,KDFW,KRDU,13:04,,,
TAB,TAB,8935,FRJ1,KDFW,KRDU,13:06,,,
FRT,FRT,6306,EJT1,KBTV,KRDU,13:07,,,
MAX,MAX,3142,FRJ1,KEWN,KRDU,13:08,,,
MAX,MAX,2556,FRJ1,KBOS,KRDU,13:11,,,
VAL,VAL,6969,EJT1,KDCA,KRDU,13:12,,,
VAL,VAL,848,EJT1,KDFW,KRDU,13:14,,,
MAX,MAX,5521,FRJ1,KEWR,KRDU,13:15,,,
MAX,MAX,5041,FRJ1,KCLT,KRDU,13:16,,,
DEN,DEN,9255,EJT1,KATL,KRDU,13:16,,,
FRT,FRT,5947,EJT1,KBTV,KRDU,13:18,,,
VAL,VAL,2386,EJT1,KFLL,KRDU,13:20,,,
MAX,MAX,2173,FRJ1,KBNA,KRDU,13:22,,,
DEN,DEN,2573,FRJ1,KCLT,KRDU,13:23,,,
FRT,FRT,4841,EJT1,KMCO,KRDU,13:27,,,
DEN,DEN,9803,EJT1,KSFO,KRDU,13:28,,,
TAB,TAB,6754,EJT1,KILM,KRDU,13:28,,,
MAX,MAX,1352,FRJ1,KRDU,KRDU,13:33,,,
MAX,MAX,3007,FRJ1,KORD,KRDU,13:34,,,
VAL,VAL,4734,EJT1,KDCA,KRDU,13:39,,,
MAX,MAX,3387,FRJ1,KLGA,KRDU,13:41,,,
TAB,TAB,3570,EJT1,KMSP,KRDU,13:43,,,
TAB,TAB,5402,EJT1,KLAS,KRDU,13:44,,,
MAX,MAX,5803,FRJ1,KORD,KRDU,13:46,,,
MAX,MAX,1212,FRJ1,BIKF,KRDU,13:53,,,
MAX,MAX,8556,FRJ1,KMCO,KRDU,13:55,,,
VAL,VAL,6789,FRJ1,KATL,KRDU,13:59,,,
TAB,TAB,6466,EJT1,KATL,KRDU,14:03,,,
TAB,TAB,9368,FRJ1,KBWI,KRDU,14:06,,,
MAX,MAX,1428,FRJ1,KDCA,KRDU,14:08,,,
MAX,MAX,5071,FRJ1,KMDT,KRDU,14:11,,,
MAX,MAX,5482,FRJ1,KMIA,KRDU,14:14,,,
VAL,VAL,655,FRJ1,KBOS,KRDU,14:18,,,
VAL,VAL,8421,EJT1,KATL,KRDU,14:19,,,
FRT,FRT,5967,EJT1,KBTV,KRDU,14:19,,,
VAL,VAL,2909,EJT1,KDCA,KRDU,14:24,,,
VAL,VAL,8752,EJT1,BIKF,KRDU,14:24,,,
VAL,VAL,7349,EJT1,KAUS,KRDU,14:26,,,
MAX,MAX,9461,FRJ1,KPHL,KRDU,14:26,,,
VAL,VAL,2754,FRJ1,KJFK,KRDU,14:26,,,
VAL,VAL,5058,FRJ1,KJFK,KRDU,14:28,,,
TAB,TAB,1974,EJT1,KILM,KRDU,14:29,,,
MAX,MAX,658,FRJ1,KAUS,KRDU,14:32,,,
MAX,MAX,4734,FRJ1,KDCA,KRDU,14:34,,,
DEN,DEN,3826,EJT1,KCLT,KRDU,14:34,,,
MAX,MAX,5239,FRJ1,KMIA,KRDU,14:36,,,
TAB,TAB,6627,FRJ1,KDCA,KRDU,14:37,,,
MAX,MAX,9171,FRJ1,KJFK,KRDU,14:39,,,
VAL,VAL,1908,EJT1,LFPG,KRDU,14:40,,,
MAX,MAX,5816,FRJ1,KEWR,KRDU,14:40,,,
MAX,MAX,1530,FRJ1,KSLC,KRDU,14:44,,,
VAL,VAL,5212,EJT1,KBWI,KRDU,14:45,,,
VAL,VAL,4769,FRJ1,KJFK,KRDU,14:48,,,
DEN,DEN,260,FRJ1,KAPF,KRDU,14:51,,,
TAB,TAB,9566,EJT1,KSEA,KRDU,14:55,,,
TAB,TAB,2408,EJT1,KIAD,KRDU,14:55,,,
FRT,FRT,6070,EJT1,KATL,KRDU,14:58,,,
VAL,VAL,8879,EJT1,KFLL,KRDU,15:01,,,
DEN,DEN,2293,FRJ1,KJFK,KRDU,15:03,,,
