"operator(color)","airline (callsign)","flight number","airplane type","from  (ICAO)","to (ICAO)","approach time","departure time","approach altitude override (feet)","special"
TAB,TAB,1507,EJT1,KIAD,KRDU,04:04,,,
MAX,MAX,8354,FRJ1,KORD,KRDU,04:06,,,
MAX,MAX,3372,FRJ1,BIKF,KRDU,04:08,,,
MAX,MAX,7082,FRJ1,KLGA,KRDU,04:11,,,
TAB,TAB,4853,EJT1,KATL,KRDU,04:14,,,
MAX,MAX,4,FRJ1,TJSJ,KRDU,04:20,,,
TAB,TAB,9569,EJT1,KDCA,KRDU,04:22,,,
VAL,VAL,3383,EJT1,KDCA,KRDU,04:22,,,
DEN,DEN,6037,EJT1,KTPA,KRDU,04:23,,,
VAL,VAL,2062,FRJ1,KJFK,KRDU,04:26,,,
TAB,TAB,1252,EJT1,KATL,KRDU,04:33,,,
TAB,TAB,4493,FRJ1,KBOS,KRDU,04:34,,,
MAX,MAX,3652,FRJ1,KMIA,KRDU,04:35,,,
MAX,MAX,3362,FRJ1,KIAD,KRDU,04:40,,,
DEN,DEN,3369,FRJ1,CYYZ,KRDU,04:44,,,
TAB,TAB,6313,FRJ1,KORD,KRDU,04:49,,,
MAX,MAX,88,FRJ1,KORD,KRDU,05:00,,,
MAX,MAX,3474,FRJ1,KAUS,KRDU,05:02,,,
TAB,TAB,3460,EJT1,KLAS,KRDU,05:03,,,
TAB,TAB,8919,EJT1,KIAD,KRDU,05:05,,,
MAX,MAX,9778,FRJ1,KBOS,KRDU,05:07,,,
TAB,TAB,7905,EJT1,KBOS,KRDU,05:10,,,
MAX,MAX,7083,FRJ1,KIAD,KRDU,05:16,,,
MAX,MAX,9199,FRJ1,KPIT,KRDU,05:18,,,
MAX,MAX,1844,FRJ1,KIAD,KRDU,05:18,,,
MAX,MAX,8169,FRJ1,KJFK,KRDU,05:21,,,
MAX,MAX,1803,FRJ1,KPIT,KRDU,05:21,,,
MAX,MAX,8214,FRJ1,KATL,KRDU,05:22,,,
MAX,MAX,4718,FRJ1,KORD,KRDU,05:23,,,
MAX,MAX,9757,FRJ1,KILM,KRDU,05:24,,,
MAX,MAX,5414,FRJ1,KEWN,KRDU,05:29,,,
MAX,MAX,4654,FRJ1,KBOS,KRDU,05:31,,,
FRT,FRT,7970,EJT1,KSLC,KRDU,05:31,,,
VAL,VAL,2914,BTRP,KCLT,KRDU,05:32,,,
VAL,VAL,4630,EJT1,KJFK,KRDU,05:33,,,
MAX,MAX,3720,FRJ1,KEWN,KRDU,05:37,,,
MAX,MAX,2181,FRJ1,KBNA,KRDU,05:39,,,
MAX,MAX,6810,FRJ1,KMCO,KRDU,05:40,,,
MAX,MAX,9530,FRJ1,KEWR,KRDU,05:40,,,
MAX,MAX,6653,FRJ1,KORD,KRDU,05:42,,,
VAL,VAL,6776,EJT1,KDAL,KRDU,05:43,,,
MAX,MAX,7963,FRJ1,KBOS,KRDU,05:47,,,
VAL,VAL,6215,FRJ1,KBNA,KRDU,05:49,,,
MAX,MAX,749,FRJ1,KJFK,KRDU,05:50,,,
MAX,MAX,6544,FRJ1,KLGA,KRDU,05:53,,,
MAX,MAX,8179,FRJ1,KDCA,KRDU,05:54,,,
MAX,MAX,8102,FRJ1,KBNA,KRDU,05:55,,,
DEN,DEN,9282,EJT1,KEWR,KRDU,05:58,,,
MAX,MAX,1255,FRJ1,KCLT,KRDU,05:58,,,
DEN,DEN,1836,FRJ1,KCLT,KRDU,06:04,,,
MAX,MAX,8965,FRJ1,KDEN,KRDU,06:06,,,
VAL,VAL,6050,EJT1,KDCA,KRDU,06:07,,,
MAX,MAX,8389,FRJ1,KATL,KRDU,06:16,,,
