"operator(color)","airline (callsign)","flight number","airplane type","from  (ICAO)","to (ICAO)","approach time","departure time","approach altitude override (feet)","special"
FRT,FRT,6628,EJT1,KATL,KRDU,04:15,,,
MAX,MAX,3943,FRJ1,KHVN,KRDU,04:25,,,
FRT,FRT,1446,EJT1,KPHL,KRDU,04:31,,,
MAX,MAX,568,FRJ1,KBOS,KRDU,04:39,,,
FRT,FRT,8238,EJT1,KLGA,KRDU,04:39,,,
MAX,MAX,9275,FRJ1,KDCA,KRDU,04:39,,,
DEN,DEN,2572,EJT1,KBNA,KRDU,04:42,,,
FRT,FRT,9767,EJT1,KDCA,KRDU,04:54,,,
VAL,VAL,164,EJT1,CYYZ,KRDU,04:55,,,
MAX,MAX,7989,FRJ1,KILM,KRDU,04:55,,,
FRT,FRT,3246,EJT1,KOAJ,KRDU,04:58,,,
FRT,FRT,9408,AJT0,KJFK,KRDU,05:02,,,
FRT,FRT,7973,EJT1,KPHL,KRDU,05:05,,,
TAB,TAB,7890,FRJ1,KLGA,KRDU,05:10,,,
MAX,MAX,6425,FRJ1,KMIA,KRDU,05:10,,,
MAX,MAX,3533,FRJ1,KATL,KRDU,05:19,,,
MAX,MAX,1947,FRJ1,KPHL,KRDU,05:23,,,
TAB,TAB,9267,EJT1,KMCO,KRDU,05:29,,,
TAB,TAB,6904,FRJ1,KDCA,KRDU,05:34,,,
MAX,MAX,206,FRJ1,KCLT,KRDU,05:40,,,
MAX,MAX,5073,FRJ1,KPHL,KRDU,05:57,,,
MAX,MAX,8465,FRJ1,KORD,KRDU,05:58,,,
VAL,VAL,9705,EJT1,KAUS,KRDU,06:10,,,
MAX,MAX,6836,FRJ1,KEWN,KRDU,06:14,,,
MAX,MAX,3836,FRJ1,KGSO,KRDU,06:15,,,
MAX,MAX,1109,FRJ1,KTPA,KRDU,06:30,,,
LAW,LAW,6380,FRJ1,KORF,KRDU,06:32,,,
TAB,TAB,7697,EJT1,KIAD,KRDU,06:34,,,
MAX,MAX,9850,FRJ1,KATL,KRDU,06:37,,,
MAX,MAX,4692,FRJ1,KMLI,KRDU,06:38,,,
VAL,VAL,4589,FRJ1,KBOS,KRDU,06:42,,,
MAX,MAX,8008,FRJ1,KDCA,KRDU,06:42,,,
MAX,MAX,2992,FRJ1,KLAS,KRDU,06:51,,,
MAX,MAX,5392,FRJ1,KORD,KRDU,06:54,,,
VAL,VAL,5121,EJT1,KCLT,KRDU,06:56,,,
MAX,MAX,6416,FRJ1,KJAX,KRDU,07:06,,,
DEN,DEN,348,EJT1,KIAH,KRDU,07:14,,,
VAL,VAL,10,EJT1,CYUL,KRDU,07:14,,,
VAL,VAL,4770,EJT1,KDCA,KRDU,07:24,,,
MAX,MAX,8595,FRJ1,KDEN,KRDU,07:24,,,
MAX,MAX,9460,FRJ1,KGSO,KRDU,07:29,,,
FRT,FRT,6190,EJT1,KPHL,KRDU,07:30,,,
TAB,TAB,2252,EJT1,KMCO,KRDU,07:40,,,
MAX,MAX,2008,FRJ1,KORD,KRDU,07:44,,,
TAB,TAB,9339,EJT1,KLAX,KRDU,07:47,,,
VAL,VAL,7297,EJT1,KAUS,KRDU,07:50,,,
TAB,TAB,3220,EJT1,KJFK,KRDU,07:56,,,
DEN,DEN,2217,EJT1,KTPA,KRDU,08:00,,,
TAB,TAB,1373,EJT1,KCLT,KRDU,08:01,,,
VAL,VAL,5461,FRJ1,KCLT,KRDU,08:01,,,
MAX,MAX,7855,FRJ1,KJAX,KRDU,08:02,,,
DEN,DEN,2686,FRJ1,KJFK,KRDU,08:02,,,
MAX,MAX,9862,FRJ1,KBOS,KRDU,08:04,,,
TAB,TAB,6515,EJT1,KCLT,KRDU,08:05,,,
TAB,TAB,4428,EJT1,KEWR,KRDU,08:07,,,
VAL,VAL,8162,FRJ1,KMCO,KRDU,08:08,,,
MAX,MAX,4237,FRJ1,KIAD,KRDU,08:11,,,
VAL,VAL,4610,FRJ1,CYYZ,KRDU,08:14,,,
MAX,MAX,6732,FRJ1,KDFW,KRDU,08:14,,,
FRT,FRT,7130,EJT1,KJFK,KRDU,08:14,,,
TAB,TAB,2895,FRJ1,KBNA,KRDU,08:17,,,
TAB,TAB,4874,EJT1,KLGA,KRDU,08:17,,,
FRT,FRT,9916,EJT1,KJFK,KRDU,08:19,,,
