Background color,"150,150,150,255"
Header background color,"50,50,50,255"
Header element color,"150,150,150,255"
Header text color,"50,50,50,255"
Header airport bg color,"50,50,50,255"
Header airport text color,"250,250,250,255"
Runway color,"50,50,50,255"
Runway button color,"150,150,150,255"
Runway button text color,"250,250,250,255"
Button disable color,"150,150,150,255"
Button enable color,"200,200,240,255"
Scale,85
Runway_5L,"0,250,0,1600"
Runway_23R,"0,250,180,1600"
Runway_5R,"0,0,0,1600"
Runway_23L,"0,0,180,1600"
Runway_14,"0,-250,0,1300"
Runway_32,"0,-250,180,1300"
