operator(color),airline (callsign),flight number,airplane type,from  (ICAO),to (ICAO),approach time,departure time,approach altitude override (feet),special
DEN,DEN,804,DPRP,TIST,TJSJ,,07:00,,
DEN,DEN,852,DPRP,TIST,TISX,,07:25,,
VAL,VAL,1114,BTRP,TIST,TISX,,07:50,,
FRT,FRT,4873,BTRP,TIST,TJSJ,,08:05,,
FRT,FRT,6961,EJT1,TIST,KMIA,,08:15,,
VAL,VAL,1118,BTRP,TIST,TISX,,08:20,,
TAB,TAB,926,EJT1,TIST,KATL,,08:21,,
FRT,FRT,201,DPRP,TIST,TJSJ,,08:30,,
FRT,FRT,2201,DPRP,TIST,TJCG,,08:30,,
DEN,DEN,806,DPRP,TIST,TJSJ,,08:40,,
FRT,FRT,8081,BTRP,TIST,TJSJ,,08:50,,
DEN,DEN,856,DPRP,TIST,TISX,,08:55,,
TGB,TGB,130,DPRP,TIST,TJSJ,,09:05,,
TAB,TAB,1350,EJT1,TIST,KMIA,,09:09,,
VAL,VAL,1126,BTRP,TIST,TISX,,09:10,,
VAL,VAL,52,FRJ1,TIST,TNCM,,10:00,,
FRT,FRT,1604,DPRP,TIST,TUPJ,,10:15,,
FRT,FRT,1624,DPRP,TIST,TUPW,,10:15,,
MAX,MAX,8081,BTRP,TIST,TJSJ,,10:21,,
MAX,MAX,8581,BTRP,TIST,TISX,,10:26,,
FRT,FRT,435,EJT1,TIST,TJSJ,,10:48,,
DEN,DEN,860,DPRP,TIST,TISX,,10:50,,
DEN,DEN,808,DPRP,TIST,TJSJ,,10:59,,
FRT,FRT,4865,BTRP,TIST,TJSJ,,11:05,,
MAX,MAX,8181,BTRP,TIST,TJSJ,,11:15,,
FRT,FRT,8801,BTRP,TIST,TISX,,11:25,,
LAW,LAW,3504,BTRP,TIST,TJSJ,,11:31,,
VAL,VAL,1144,BTRP,TIST,TISX,,11:35,,
MAX,MAX,8161,BTRP,TIST,TJSJ,,11:55,,
FRT,FRT,1608,DPRP,TIST,TUPJ,,12:00,,
DEN,DEN,864,DPRP,TIST,TISX,,12:05,,
FRT,FRT,1628,DPRP,TIST,TUPW,,12:15,,
VAL,VAL,1152,BTRP,TIST,TISX,,12:30,,
TGB,TGB,1445,EJT1,TIST,KIAD,,12:30,,
DEN,DEN,1481,EJT1,TIST,KEWR,,12:39,,
TGB,TGB,1455,EJT1,TIST,KDCA,,12:45,,
DEN,DEN,812,DPRP,TIST,TJSJ,,13:00,,
LAW,LAW,1630,EJT1,TIST,KMIA,,13:05,,
DEN,DEN,1445,EJT1,TIST,KIAD,,13:15,,
FRT,FRT,209,DPRP,TIST,TJSJ,,13:30,,
BTV,BTV,3022,BTRP,TIST,TQPF,,13:45,,
FRT,FRT,8321,BTRP,TIST,TJSJ,,13:49,,
VAL,VAL,788,EJT1,TIST,TJSJ,,13:53,,
MAX,MAX,8541,BTRP,TIST,TISX,,13:55,,
DEN,DEN,868,DPRP,TIST,TISX,,14:02,,
TGB,TGB,1530,EJT1,TIST,KEWR,,14:12,,
TAB,TAB,196,EJT1,TIST,KJFK,,14:13,,
DEN,DEN,1482,EJT1,TIST,KEWR,,14:17,,
LAW,LAW,7728,BTRP,TIST,TJSJ,,14:28,,
LAW,LAW,936,FRJ1,TIST,KJFK,,14:36,,
DEN,DEN,361,DPRP,TIST,TAPA,,14:45,,
TAB,TAB,943,EJT1,TIST,KMIA,,14:49,,
MAX,MAX,8201,BTRP,TIST,TJSJ,,14:50,,
TAB,TAB,674,EJT1,TIST,KATL,,14:56,,
VAL,VAL,1174,BTRP,TIST,TISX,,15:05,,
FRT,FRT,1612,DPRP,TIST,TUPJ,,15:15,,
