callsign,callsign say,airplane type,from (ICAO),to (ICAO),arrive time,departure time,approach altitude override (feet),school (stop and go),School ( touch and go),School (low approach),color,special
N101UD,ONE ZERO ONE UNIFORM DELTA,BIZ0,TXKF,KMCO,,07:01,,0,0,0,UAX,
N1219R,ONE TWO ONE NYNER ROMEO,FRJ1,KSEA,KLAX,07:30,,,0,0,0,BTV,
N1219R,ONE TWO ONE NYNER ROMEO,FRJ1,TXKF,KSEA,,10:20,,0,0,0,BTV,
N34VR,TREE FOUR VICTOR ROMEO,BIZ0,TXKF,KLAX,,11:32,,0,0,0,TGB,
N563FT,SIX TREE FOX TANGO,BIZ0,KSEA,TXKF,10:22,,,0,0,0,Default,
N563FT,SIX TREE FOX TANGO,BIZ0,TXKF,KTPA,,14:13,,0,0,0,Default,
N003FT,ZERO TREE FOX TANGO,BIZ0,KONT,TXKF,14:02,,,0,0,0,Default,
N003FT,ZERO TREE FOX TANGO,BIZ0,TXKF,KONT,,15:24,,0,0,0,Default,
N842FT,EIGHT FOUR TWO FOX TANGO,BIZ0,KTEB,TXKF,15:30,,,0,0,0,Default,
N842FT,EIGHT FOUR TWO FOX TANGO,BIZ0,TXKF,KTEB,,19:15,,0,0,0,Default,
M1319U,ONE TREE ONE NYNER UNIFORM,BIZ0,KBNA,TXKF,16:10,,,0,0,0,Default,
M1319U,ONE TREE ONE NYNER UNIFORM,BIZ0,TXKF,KBNA,,19:10,,0,0,0,Default,
N24461,TWO FOUR FOUR SIX ONE,BIZ0,KRDU,TXKF,19:31,,,0,0,0,Default,
N24461,TWO FOUR FOUR SIX ONE,BIZ0,TXKF,KRDU,,22:42,,0,0,0,Default,
N136LR,ONE TREE SIX LIMA ROMEO,BIZ0,KBOS,TXKF,18:41,,,0,0,0,Default,
N136LR,ONE TREE SIX LIMA ROMEO,BIZ0,TXKF,KBOS,,19:31,,0,0,0,Default,
N224QS,TWO TWO FOUR QUEBEC SIERRA,BIZ0,KMIA,TXKF,17:11,,,0,0,0,Default,
N224QS,TWO TWO FOUR QUEBEC SIERRA,BIZ0,TXKF,KMIA,,17:51,,0,0,0,Default,
N664QS,SIX SIX FOUR QUEBEC SIERRA,BIZ0,KBNA,TXKF,16:21,,,0,0,0,Default,
N664QS,SIX SIX FOUR QUEBEC SIERRA,BIZ0,TXKF,KBNA,,22:21,,0,0,0,Default,
N577ST,FIFE SEVEN SEVEN SIERRA TANGO,BIZ0,KTEB,TXKF,23:55,,,0,0,0,Default,
N577ST,FIFE SEVEN SEVEN SIERRA TANGO,BIZ0,TXKF,KTEB,,05:55,,0,0,0,Default,
N706VP,SEVEN ZERO SIX VICTOR PAPA,FRJ1,KMIA,TXKF,18:32,,,0,0,0,DEN,
N706VP,SEVEN ZERO SIX VICTOR PAPA,FRJ1,TXKF,KMIA,,19:38,,0,0,0,DEN,
N101UD,ONE ZERO ONE UNIFORM DELTA,BIZ0,KMCO,TXKF,23:18,,,0,0,0,UAX,
N34VR,TREE FOUR VICTOR ROMEO,FRJ1,KLAX,TXKF,00:20,,,0,0,0,TGB,
