"id","write","text"
"ZERO",0,"ZERO"
"ONE",1,"ONE"
"TWO",2,"TWO"
"THREE",3,"THREE"
"FOUR",4,"FOUR"
"FIVE",5,"FIVE"
"SIX",6,"SIX"
"SEVEN",7,"SEVEN"
"EIGHT",8,"EIGHT"
"NYNER",9,"NYNER"
"TEN",10,"TEN"
"ELEVEN",11,"ELEVEN"
"TWELVE",12,"TWELVE"
"THIRTEEN",13,"THIRTEEN"
"FOURTEEN",14,"FOURTEEN"
"FIFTEEN",15,"FIFTEEN"
"SIXTEEN",16,"SIXTEEN"
"SEVENTEEN",17,"SEVENTEEN"
"EIGHTEEN",18,"EIGHTEEN"
"NINETEEN",19,"NINETEEN"
"TWENTY",20,"TWENTY"
"TWENTY_ONE",21,"TWENTY-ONE"
"TWENTY_TWO",22,"TWENTY-TWO"
"TWENTY_THREE",23,"TWENTY-THREE"
"TWENTY_FOUR",24,"TWENTY-FOUR"
"TWENTY_FIVE",25,"TWENTY-FIVE"
"TWENTY_SIX",26,"TWENTY-SIX"
"TWENTY_SEVEN",27,"TWENTY-SEVEN"
"TWENTY_EIGHT",28,"TWENTY-EIGHT"
"TWENTY_NINE",29,"TWENTY-NINE"
"THIRTY",30,"THIRTY"
"THIRTY_ONE",31,"THIRTY-ONE"
"THIRTY_TWO",32,"THIRTY-TWO"
"THIRTY_THREE",33,"THIRTY-THREE"
"THIRTY_FOUR",34,"THIRTY-FOUR"
"THIRTY_FIVE",35,"THIRTY-FIVE"
"THIRTY_SIX",36,"THIRTY-SIX"
"THIRTY_SEVEN",37,"THIRTY-SEVEN"
"THIRTY_EIGHT",38,"THIRTY-EIGHT"
"THIRTY_NINE",39,"THIRTY-NINE"
"FOURTY",40,"FOURTY"
"FOURTY_ONE",41,"FOURTY-ONE"
"FOURTY_TWO",42,"FOURTY-TWO"
"FOURTY_THREE",43,"FOURTY-THREE"
"FOURTY_FOUR",44,"FOURTY-FOUR"
"FOURTY_FIVE",45,"FOURTY-FIVE"
"FOURTY_SIX",46,"FOURTY-SIX"
"FOURTY_SEVEN",47,"FOURTY-SEVEN"
"FOURTY_EIGHT",48,"FOURTY-EIGHT"
"FOURTY_NINE",49,"FOURTY-NINE"
"FIFTY",50,"FIFTY"
"FIFTY_ONE",51,"FIFTY-ONE"
"FIFTY_TWO",52,"FIFTY-TWO"
"FIFTY_THREE",53,"FIFTY-THREE"
"FIFTY_FOUR",54,"FIFTY-FOUR"
"FIFTY_FIVE",55,"FIFTY-FIVE"
"FIFTY_SIX",56,"FIFTY-SIX"
"FIFTY_SEVEN",57,"FIFTY-SEVEN"
"FIFTY_EIGHT",58,"FIFTY-EIGHT"
"FIFTY_NINE",59,"FIFTY-NINE"
"SIXTY",60,"SIXTY"
"SIXTY_ONE",61,"SIXTY-ONE"
"SIXTY_TWO",62,"SIXTY-TWO"
"SIXTY_THREE",63,"SIXTY-THREE"
"SIXTY_FOUR",64,"SIXTY-FOUR"
"SIXTY_FIVE",65,"SIXTY-FIVE"
"SIXTY_SIX",66,"SIXTY-SIX"
"SIXTY_SEVEN",67,"SIXTY-SEVEN"
"SIXTY_EIGHT",68,"SIXTY-EIGHT"
"SIXTY_NINE",69,"SIXTY-NINE"
"SEVENTY",70,"SEVENTY"
"SEVENTY_ONE",71,"SEVENTY-ONE"
"SEVENTY_TWO",72,"SEVENTY-TWO"
"SEVENTY_THREE",73,"SEVENTY-THREE"
"SEVENTY_FOUR",74,"SEVENTY-FOUR"
"SEVENTY_FIVE",75,"SEVENTY-FIVE"
"SEVENTY_SIX",76,"SEVENTY-SIX"
"SEVENTY_SEVEN",77,"SEVENTY-SEVEN"
"SEVENTY_EIGHT",78,"SEVENTY-EIGHT"
"SEVENTY_NINE",79,"SEVENTY-NINE"
"EIGHTY",80,"EIGHTY"
"EIGHTY_ONE",81,"EIGHTY-ONE"
"EIGHTY_TWO",82,"EIGHTY-TWO"
"EIGHTY_THREE",83,"EIGHTY-THREE"
"EIGHTY_FOUR",84,"EIGHTY-FOUR"
"EIGHTY_FIVE",85,"EIGHTY-FIVE"
"EIGHTY_SIX",86,"EIGHTY-SIX"
"EIGHTY_SEVEN",87,"EIGHTY-SEVEN"
"EIGHTY_EIGHT",88,"EIGHTY-EIGHT"
"EIGHTY_NINE",89,"EIGHTY-NINE"
"NINETY",90,"NINETY"
"NINETY_ONE",91,"NINETY-ONE"
"NINETY_TWO",92,"NINETY-TWO"
"NINETY_THREE",93,"NINETY-THREE"
"NINETY_FOUR",94,"NINETY-FOUR"
"NINETY_FIVE",95,"NINETY-FIVE"
"NINETY_SIX",96,"NINETY-SIX"
"NINETY_SEVEN",97,"NINETY-SEVEN"
"NINETY_EIGHT",98,"NINETY-EIGHT"
"NINETY_NINE",99,"NINETY-NINE"
