callsign,callsign say,airplane type,from (ICAO),to (ICAO),arrive time,departure time,approach altitude override (feet),school (stop and go),School ( touch and go),School (low approach),color,special
DWW83S,DELTA WHISKEY WHISKY EIGHT THREE SIERRA,BIZ0,EDNY,EDDS,06:54,,,0,0,0,Default,
DCS303,TWIN STAR THREE ZERO THREE,BIZ0,EDDS,LSGG,,07:12,,0,0,0,Default,
BTX1A,BEETLE ONE ALPHA,DPRP,EDDS,EDVE,,07:14,,0,0,0,Default,
EFD2D,EVER FLIGHT TWO DELTA,BIZ0,EDDS,EDSB,,07:15,,0,0,0,Default,
TIH2A,TIRIAC AIR TWO ALPHA,BIZ0,EDDS,LFSB,,08:24,,0,0,0,Default,
DWW83V,DELTA WHISKEY WHISKY EIGHT THREE VICTOR,BIZ0,EDDS,LGAV,,08:42,,0,0,0,Default,
VM207,VICTOR MIKE TWO ZERO SEVEN,DPRP,EDDS,EINN,,08:53,,0,0,0,Default,
GAC293V,DREAM TEAM TWO NYNER THREE VICTOR,BIZ0,LOWW,EDDS,08:58,,,0,0,0,Default,
D-CSRM,DELTA CHARLIE SIERRA ROMEO MIKE,BIZ0,EDDS,EDDK,,09:02,,0,0,0,Default,
EFD3T,EVER FLIGHT THERE TANGO,BIZ0,EDDS,EDQG,,09:23,,0,0,0,Default,
EFD4E,EVER FLIGHT FOUR ECHO,BIZ0,EDDS,LOWW,,10:04,,0,0,0,Default,
TIE221M,TIME AIR TWO TWO ONE MIKE,BIZ0,EHRD,EDDS,11:11,,,0,0,0,Default,
D-GOSR,DELTA GOLF OSCAR SIERRA ROMEO,DPRP,EDDS,EDDS,,11:12,,0,0,0,Default,
VM207,VICTOR MIKE TWO ZERO SEVEN,DPRP,EKCH,EDDS,11:52,,,0,0,0,Default,
ECA4US,DARK KNIGHT FOUR UNIFORM SIERRA,BIZ0,EDDS,EGBB,,13:03,,0,0,0,Default,
GAC293W,DREAM TEAM TWO NYNER THREE WHISKEY,BIZ0,EDDS,LOWL,,14:21,,0,0,0,Default,
EFD2D,EVER FLIGHT TWO DELTA,BIZ0,EDDH,EDDS,14:30,,,0,0,0,Default,
FHG74,FLYING HOPE SEVEN FOUR,DPRP,ETNL,EDDS,14:49,,,0,0,0,Default,
D-CSRM,DELTA CHARLIE SIERRA ROMEO MIKE,BIZ0,EDVK,EDDS,14:54,,,0,0,0,Default,
AHO282C,AIR HAMBURG TWO EIGHT TWO CHARLIE,BIZ0,LPFR,EDDS,15:26,,,0,0,0,Default,
D-EPMJ,DELTA ECHO PAPA MIKE JULIET,DPRP,EDDS,EDKB,,15:30,,0,0,0,Default,
FHG75,FLYING HOPE SEVEN FIVE,DPRP,EDDS,EDFY,,16:04,,0,0,0,Default,
D-EPMJ,DELTA ECHO PAPA MIKE JULIET,DPRP,EDQM,EDDS,17:29,,,0,0,0,Default,
DCS401,TWIN STAR FOUR ZERO ONE,DPRP,EDDS,LFMN,,17:37,,0,0,0,Default,
BTX1B,BEETLE ONE BRAVO,DPRP,EDVE,EDDS,17:47,,,0,0,0,Default,
JBC376L,JET BEE THREE SEVEN SIX LIMA,DPRP,EDDS,EGKB,,18:00,,0,0,0,Default,
DCS401,TWIN STAR FOUR ZERO ONE,DPRP,OOMS,EDDS,18:16,,,0,0,0,Default,
D-EWGL,DELTA ECHO WHISKEY GOLF LIMA,DPRP,EDDS,EDTY,,18:18,,0,0,0,Default,
GRB562,GRAY BIRD FIVE SIX TWO,BIZ0,LERT,EDDS,18:19,,,0,0,0,Default,
BTX3C,BEETLE THREE CHARLIE,BIZ0,ETSI,EDDS,18:36,,,0,0,0,Default,
FRF800,FAIR FLEET EIGHT ZERO ZERO,BTRP,EGBB,EDDS,18:47,,,0,0,0,Default,
TIE221M,TIME AIR TWO TWO ONE MIKE,BIZ0,EDDS,EDDK,,19:06,,0,0,0,Default,
ATL6U,AIR ATLANTIC SIX UNIFORM,BIZ0,LFMN,EDDS,20:38,,,0,0,0,Default,
FRF801,FAIR FLEET EIGHT ZERO ONE,BTRP,EDDS,ESGJ,,20:55,,0,0,0,Default,
ECA4US,DARK KNIGHT FOUR UNIFORM SIERRA,BIZ0,EGBB,EDDS,22:37,,,0,0,0,Default,
