operator(color),airline (callsign),flight number,airplane type,from  (ICAO),to (ICAO),approach time,departure time,approach altitude override (feet),special
EMF,EMF,7144,BTRP,KHWD,KBUR,01:40,,,
EMF,EMF,914,EJT1,KSDF,KBUR,05:02,,,cargo
EMF,EMF,1417,EJT1,KMEM,KBUR,06:08,,,cargo
VAL,VAL,636,EJT1,KOAK,KBUR,07:12,,,
VAL,VAL,756,EJT1,KSJC,KBUR,07:37,,,
VAL,VAL,2161,EJT1,KPHX,KBUR,07:44,,,
VAL,VAL,952,EJT1,KSMF,KBUR,07:47,,,
VAL,VAL,1748,EJT1,KLAS,KBUR,07:49,,,
FRT,FRT,101,FRJ1,KLAS,KBUR,07:56,,,
VAL,VAL,779,EJT1,KSFO,KBUR,08:17,,,
VAL,VAL,2882,EJT1,KOAK,KBUR,08:29,,,
VAL,VAL,3186,EJT1,KSMF,KBUR,08:31,,,
MAX,MAX,1290,EJT1,KSEA,KBUR,08:36,,,
VAL,VAL,241,EJT1,KDEN,KBUR,08:49,,,
FRT,FRT,968,EJT1,KPHX,KBUR,08:56,,,
FRT,FRT,400,FRJ1,KPHX,KBUR,08:58,,,
DEN,DEN,264,EJT1,KLAS,KBUR,09:04,,,
VAL,VAL,829,EJT1,KLAS,KBUR,09:06,,,
MAX,MAX,3679,FRJ1,KSLC,KBUR,09:27,,,
VAL,VAL,1193,EJT1,KSJC,KBUR,09:38,,,
VAL,VAL,2054,EJT1,KLAS,KBUR,09:45,,,
TAB,TAB,5920,FRJ1,KSFO,KBUR,09:54,,,
MAX,MAX,3343,FRJ1,KBOI,KBUR,10:01,,,
VAL,VAL,422,EJT1,KOAK,KBUR,10:13,,,
VAL,VAL,2087,EJT1,KPHX,KBUR,10:15,,,
DEN,DEN,472,BIZ0,KLVK,KBUR,10:24,,,
VAL,VAL,647,EJT1,KSFO,KBUR,10:27,,,
DEN,DEN,196,EJT1,KACV,KBUR,10:40,,,
VAL,VAL,1287,EJT1,KSMF,KBUR,10:50,,,
VAL,VAL,2653,EJT1,KSJC,KBUR,11:08,,,
FRT,FRT,550,FRJ1,KBJC,KBUR,11:11,,,
DEN,DEN,249,EJT1,KLAS,KBUR,11:54,,,
VAL,VAL,1065,EJT1,KDEN,KBUR,11:55,,,
VAL,VAL,1658,EJT1,KLAS,KBUR,11:57,,,
FRT,FRT,173,FRJ1,KOAK,KBUR,11:59,,,
VAL,VAL,1645,EJT1,KOAK,KBUR,12:01,,,
VAL,VAL,507,EJT1,KSLC,KBUR,12:03,,,
FRT,FRT,1207,EJT1,KDFW,KBUR,12:06,,,
FRT,FRT,776,FRJ1,KRNO,KBUR,12:21,,,
MAX,MAX,1120,EJT1,KSEA,KBUR,12:23,,,
VAL,VAL,223,EJT1,KSMF,KBUR,12:31,,,
FRT,FRT,3269,FRJ1,KPHX,KBUR,12:48,,,
TAB,TAB,806,BIZ0,KTUL,KBUR,12:58,,,
TAB,TAB,5661,FRJ1,KSFO,KBUR,13:09,,,
VAL,VAL,2092,EJT1,KLAS,KBUR,13:10,,,
VAL,VAL,1578,EJT1,KOAK,KBUR,13:25,,,
VAL,VAL,790,EJT1,KPHX,KBUR,13:30,,,
VAL,VAL,2036,EJT1,KRNO,KBUR,13:40,,,
MAX,MAX,3415,FRJ1,KPDX,KBUR,13:41,,,
DEN,DEN,499,BIZ0,KSBA,KBUR,13:46,,,
FRT,FRT,105,FRJ1,KLAS,KBUR,14:01,,,
TAB,TAB,5803,FRJ1,KSFO,KBUR,14:10,,,
FRT,FRT,107,FRJ1,KLAS,KBUR,14:12,,,
VAL,VAL,1408,EJT1,KOAK,KBUR,14:16,,,
MAX,MAX,3461,FRJ1,KSTS,KBUR,14:17,,,
VAL,VAL,2874,EJT1,KSFO,KBUR,14:34,,,
VAL,VAL,1794,EJT1,KSJC,KBUR,14:57,,,
DEN,DEN,102,EJT1,KSTS,KBUR,15:03,,,
VAL,VAL,2176,EJT1,KABQ,KBUR,15:20,,,
VAL,VAL,1787,EJT1,KPHX,KBUR,15:23,,,
VAL,VAL,488,EJT1,KLAX,KBUR,15:25,,,
VAL,VAL,3551,EJT1,KSMF,KBUR,15:38,,,
MAX,MAX,1150,EJT1,KSEA,KBUR,15:45,,,
MAX,MAX,3692,FRJ1,KSLC,KBUR,15:52,,,
FRT,FRT,175,FRJ1,KOAK,KBUR,15:54,,,
TAB,TAB,638,BIZ0,KLAS,KBUR,15:58,,,
FRT,FRT,142,FRJ1,KCCR,KBUR,16:01,,,
VAL,VAL,1158,EJT1,KLAS,KBUR,16:13,,,
DEN,DEN,166,EJT1,KBOI,KBUR,16:18,,,
FRT,FRT,109,FRJ1,KLAS,KBUR,16:25,,,
VAL,VAL,1955,EJT1,KSMF,KBUR,16:28,,,
FRT,FRT,402,FRJ1,KPHX,KBUR,16:35,,,
VAL,VAL,3653,EJT1,KOAK,KBUR,16:43,,,
VAL,VAL,3188,EJT1,KDEN,KBUR,16:45,,,
VAL,VAL,2855,EJT1,KAUS,KBUR,16:48,,,
FRT,FRT,121,FRJ1,KLAS,KBUR,16:54,,,
VAL,VAL,26,EJT1,KHOU,KBUR,16:57,,,
TAB,TAB,726,BIZ0,KCRQ,KBUR,17:06,,,
EMF,EMF,2914,EJT1,KSDF,KBUR,17:14,,,cargo
VAL,VAL,1411,EJT1,KLAS,KBUR,17:26,,,
VAL,VAL,238,EJT1,KSMF,KBUR,17:29,,,
VAL,VAL,1454,EJT1,KEUG,KBUR,17:37,,,
VAL,VAL,792,EJT1,KSJC,KBUR,17:40,,,
FRT,FRT,177,FRJ1,KOAK,KBUR,17:49,,,
TAB,TAB,5351,FRJ1,KSFO,KBUR,17:51,,,
FRT,FRT,5009,FRJ1,KPHX,KBUR,18:03,,,
EMF,EMF,1941,BTRP,KSBP,KBUR,18:07,,,
FRT,FRT,111,FRJ1,KLAS,KBUR,18:11,,,
VAL,VAL,2204,EJT1,KSFO,KBUR,18:21,,,
EMF,EMF,1947,BTRP,KBFL,KBUR,18:23,,,
VAL,VAL,2192,EJT1,KPHX,KBUR,18:29,,,
EMF,EMF,1929,BTRP,KSBA,KBUR,18:42,,,
EMF,EMF,1943,BTRP,KSMX,KBUR,18:47,,,
DEN,DEN,120,EJT1,KRDM,KBUR,19:04,,,
