"ICAO","Name","Latitude","Longitude","IATA","GMT","Country code"
"AYGA","Goroka Airport Terminal","-6.04","145.23","GKA","1","NOR"
"AYLA","Lae Nadzab Airport","-6.44","146.6","LAE","1","NOR"
"AYMD","Madang Airport","-5.13","145.47","MAG","1","NOR"
"AYMH","Kagamuga International Airport","-5.52","144.14","HGU","1","NOR"
"AYPY","Jacksons International Airport","-9.26","147.13","POM","1","NOR"
"AYRB","Rabaul Airport","-4.13","152.11","RAB","1","NOR"
"AYWK","Wewak Airport","-3.36","143.4","WWK","1","NOR"
"BGBW","Narsarsuaq Airport","61.09","-45.22","UAK","-3","GRL"
"BGEM","Aasiaat Airpor","68.42","-52.45","JEG","-3","GRL"
"BGGH","Nuuk International Airport","64.1","-51.43","GOH","-3","GRL"
"BGHB","Sisimiut Airport","66.56","-53.42","JHS","-3","GRL"
"BGJH","Heliport Airport","60.45","-46","JJU","-3","GRL"
"BGJN","Ilulissat Airport","69.15","-51","JAV","-3","GRL"
"BGKK","Kulusuk Airport","65.34","-37.07","KUS","-3","GRL"
"BGMQ","Maniitsoq Airport","65.24","-52.52","JSU","-3","GRL"
"BGNN","Nanortalik Airport","60.09","-45.13","JNN","-3","GRL"
"BGSF","Kangerlussuaq Airport","67.01","-50.43","SFJ","-3","GRL"
"BIAR","Akureyri Airport","65.65","-18.08","AEY","0","ISL"
"BIEG","Egilsstadir Airport","65.17","-14.24","EGS","0","ISL"
"BIIS","Isafjordur Airport","66.03","-23.08","IFJ","0","ISL"
"BIKF","Keflavik Airport","63.59","-22.36","KEF","0","ISL"
"BIRK","Reykjavik City Airport","64.08","-21.57","RKV","0","ISL"
"BKPR","Pristina International Airport","42.34","21.01","PRN","2","XXK"
"CYAM","Sault Ste. Marie Airport","46.29","-84.3","YAM","-4","CDN"
"CYAY","St. Anthony Airport","51.22","-55.35","YAY","-3.5","CDN"
"CYBB","Kugaaruk Airport","68.53","-89.51","YBB","-6","CDN"
"CYBC","Baie-Comeau Airport","49.12","-68.16","YBC","-4","CDN"
"CYBG","Saguenay-Bagotville Airport","48.2","-70.59","YBG","-4","CDN"
"CYBK","Baker Lake Airport","64.18","-96.05","YBK","-6","CDN"
"CYBL","Campbell River-Jubilee Airport","49.57","-125.16","YBL","-7","CDN"
"CYCB","Cambridge Bay Airport","69.07","-105.08","YCB","-7","CDN"
"CYCD","Nanaimo Airport","49.1","-123.56","YCD","-7","CDN"
"CYCG","West Kootenay Regional Airport","49.18","-117.38","YCG","-7","CDN"
"CYCO","Kugluktuk Airport","67.5","-115.05","YCO","-6","CDN"
"CYCS","Chesterfield Inlet Airport","63.2","-90.42","YCS","-5","CDN"
"CYCY","Clyde River Airport","70.29","-68.31","YCY","-4","CDN"
"CYCZ","Coral Harbour Airport","64.12","-83.22","YZS","-5","CDN"
"CYDA","Dawson City Airport","64.03","-139.05","YDA","-7","CDN"
"CYDF","Deer Lake Regional Airport","49.13","-57.24","YDF","-3.5","CDN"
"CYDQ","Dawson Creek Regional Airport","55.44","-120.11","YDQ","-7","CDN"
"CYEG","Edmonton International Airport","53.19","-113.36","YEG","-7","CDN"
"CYEK","Arviat Airport","61.07","-94.03","YEK","-5","CDN"
"CYEV","Inuvik Mike Zubko Airport","68.18","-133.29","YEV","-7","CDN"
