"operator(color)","airline (callsign)","flight number","airplane type","from  (ICAO)","to (ICAO)","approach time","departure time","approach altitude override (feet)","special"
"DEN","DEN",633,"EJT1","KLGA","KIAH",,"00:45",,
"MAX","MAX",4650,"FRJ1","KLGA","KATL",,"01:00",,
"TAB","TAB",1447,"EJT1","KLGA","KATL",,"01:00",,
"TAB","TAB",4900,"EJT1","KLGA","KATL",,"01:00",,
"LAW","LAW",2114,"EJT1","KLGA","KBOS",,"01:00",,
"TGB","TGB",4563,"BTRP","KLGA","KBUF",,"01:00",,
"LAW","LAW",2161,"EJT1","KLGA","KDCA",,"01:00",,
"TAB","TAB",2931,"EJT1","KLGA","KDTW",,"01:00",,
"VAL","VAL",371,"EJT1","KLGA","KFLL",,"01:00",,
"LAW","LAW",7536,"FRJ1","KLGA","KIAD",,"01:00",,
"FRT","FRT",2203,"EJT1","KLGA","KMIA",,"01:00",,
"TAB","TAB",669,"EJT1","KLGA","KORD",,"01:00",,
"DEN","DEN",1267,"FRJ1","KLGA","KPHL",,"01:00",,
"MAX","MAX",4424,"FRJ1","KLGA","KRDU",,"01:00",,
"FRT","FRT",705,"EJT1","KLGA","KDFW",,"01:05",,
"VAL","VAL",788,"EJT1","KLGA","KMDW",,"01:05",,
"FRT","FRT",301,"EJT1","KLGA","KORD",,"01:05",,
"TAB","TAB",2236,"EJT1","KLGA","KCVG",,"01:10",,
"TGB","TGB",4605,"BTRP","KLGA","KPHL",,"01:15",,
"DEN","DEN",7678,"EJT1","KLGA","KCLT",,"01:25",,
"TAB","TAB",2719,"EJT1","KLGA","KMSP",,"01:27",,
"MAX","MAX",5801,"FRJ1","KLGA","KCLE",,"01:29",,
"TAB","TAB",1370,"EJT1","KLGA","KBOS",,"01:30",,
"MAX","MAX",4576,"FRJ1","KLGA","KCLT",,"01:30",,
"MAX","MAX",5901,"FRJ1","KLGA","KDCA",,"01:30",,
"MAX","MAX",1502,"FRJ1","KLGA","KMKE",,"01:30",,
"MAX","MAX",6768,"FRJ1","KLGA","KRDU",,"01:30",,
"TAB","TAB",701,"EJT1","KLGA","CYYZ",,"01:30",,
"MAX","MAX",4516,"FRJ1","KLGA","CYUL",,"01:35",,
"TAB","TAB",741,"FRJ1","KLGA","CYUL",,"01:35",,
"FRT","FRT",303,"EJT1","KLGA","KORD",,"01:40",,
"MAX","MAX",4459,"FRJ1","KLGA","CYYZ",,"01:40",,
"MAX","MAX",4464,"FRJ1","KLGA","KBOS",,"01:45",,
"DEN","DEN",1705,"EJT1","KLGA","KFLL",,"01:45",,
"TAB","TAB",2673,"EJT1","KLGA","KMEM",,"01:45",,
"DEN","DEN",333,"EJT1","KLGA","KIAH",,"01:50",,
"TAB","TAB",472,"EJT1","KLGA","KMKE",,"01:54",,
"MAX","MAX",5933,"FRJ1","KLGA","KORD",,"01:59",,
"TAB","TAB",1547,"EJT1","KLGA","KATL",,"02:00",,
"LAW","LAW",2116,"FRJ1","KLGA","KBOS",,"02:00",,
"LAW","LAW",2163,"EJT1","KLGA","KDCA",,"02:00",,
"FRT","FRT",707,"EJT1","KLGA","KDFW",,"02:00",,
"MAX","MAX",1977,"FRJ1","KLGA","KMCI",,"02:00",,
"TAB","TAB",667,"EJT1","KLGA","KORD",,"02:00",,
"MAX","MAX",4534,"FRJ1","KLGA","KXNA",,"02:00",,
"FRT","FRT",305,"EJT1","KLGA","KORD",,"02:05",,
"TAB","TAB",7542,"EJT1","KLGA","KATL",,"02:10",,
"TAB","TAB",2831,"EJT1","KLGA","KDTW",,"02:10",,
"TGB","TGB",4503,"BTRP","KLGA","KBWI",,"02:15",,
"MAX","MAX",5960,"FRJ1","KLGA","KMCI",,"02:15",,
"MAX","MAX",3720,"FRJ1","KLGA","KPIT",,"02:18",,
"TGB","TGB",768,"BTRP","KLGA","KSYR",,"02:20",,
"MAX","MAX",3577,"FRJ1","KLGA","KRDU",,"02:22",,
"VAL","VAL",219,"EJT1","KLGA","KBWI",,"02:25",,
"MAX","MAX",3385,"FRJ1","KLGA","KCMH",,"02:25",,
"TAB","TAB",2685,"EJT1","KLGA","KMCO",,"02:25",,
"TGB","TGB",447,"BTRP","KLGA","KBTV",,"02:29",,
"DEN","DEN",733,"EJT1","KLGA","KIAH",,"02:29",,
"TAB","TAB",1372,"EJT1","KLGA","KBOS",,"02:30",,
"MAX","MAX",5903,"FRJ1","KLGA","KDCA",,"02:30",,
"FRT","FRT",983,"EJT1","KLGA","KMIA",,"02:30",,
"TAB","TAB",459,"EJT1","KLGA","KORD",,"02:30",,
"TGB","TGB",4438,"BTRP","KLGA","KROC",,"02:30",,
"TAB","TAB",703,"FRJ1","KLGA","CYYZ",,"02:30",,
"MAX","MAX",3625,"FRJ1","KLGA","KRIC",,"02:32",,
"TAB","TAB",2555,"EJT1","KLGA","KPBI",,"02:40",,
"TGB","TGB",4331,"BTRP","KLGA","KPHL",,"02:50",,
"MAX","MAX",4439,"FRJ1","KLGA","KRDU",,"02:50",,
"TAB","TAB",2753,"EJT1","KLGA","KTPA",,"02:50",,
"TAB","TAB",1078,"EJT1","KLGA","KMSY",,"02:55",,
"MAX","MAX",4546,"FRJ1","KLGA","CYYZ",,"02:55",,
"VAL","VAL",389,"EJT1","KLGA","KMCO",,"02:57",,
"MAX","MAX",3711,"FRJ1","KLGA","KBGR",,"02:59",,
"MAX","MAX",4502,"FRJ1","KLGA","KBOS",,"02:59",,
"MAX","MAX",3640,"FRJ1","KLGA","KBUF",,"02:59",,
"TGB","TGB",4165,"BTRP","KLGA","KROA",,"02:59",,
"TAB","TAB",2047,"EJT1","KLGA","KATL",,"03:00",,
"TAB","TAB",326,"EJT1","KLGA","KATL",,"03:00",,
"VAL","VAL",5711,"FRJ1","KLGA","KBNA",,"03:00",,
"LAW","LAW",2118,"FRJ1","KLGA","KBOS",,"03:00",,
"LAW","LAW",2165,"EJT1","KLGA","KDCA",,"03:00",,
"FRT","FRT",709,"EJT1","KLGA","KDFW",,"03:00",,
"MAX","MAX",245,"FRJ1","KLGA","KORD",,"03:00",,
"TAB","TAB",835,"EJT1","KLGA","KORD",,"03:00",,
"VAL","VAL",4671,"BTRP","KLGA","KACK",,"03:05",,
"TGB","TGB",4572,"BTRP","KLGA","KALB",,"03:05",,
"TAB","TAB",2119,"EJT1","KLGA","KMSP",,"03:10",,
"TAB","TAB",3181,"EJT1","KLGA","KDEN",,"03:13",,
"MAX","MAX",4665,"FRJ1","KLGA","KATL",,"03:15",,
"DEN","DEN",357,"EJT1","KLGA","KCLT",,"03:15",,
"VAL","VAL",4661,"BTRP","KLGA","KMHT",,"03:15",,
"FRT","FRT",309,"EJT1","KLGA","KORD",,"03:15",,
"TGB","TGB",4485,"BTRP","KLGA","KORF",,"03:15",,
"TGB","TGB",4283,"BTRP","KLGA","KPHL",,"03:15",,
"TAB","TAB",7731,"FRJ1","KLGA","CYOW",,"03:20",,
"MAX","MAX",4567,"FRJ1","KLGA","KBNA",,"03:25",,
"VAL","VAL",4651,"BTRP","KLGA","KMVY",,"03:25",,
"MAX","MAX",387,"FRJ1","KLGA","KCHS",,"03:29",,
"TAB","TAB",1374,"EJT1","KLGA","KBOS",,"03:30",,
"MAX","MAX",5923,"FRJ1","KLGA","KCLE",,"03:30",,
"MAX","MAX",4582,"FRJ1","KLGA","KCLT",,"03:30",,
"MAX","MAX",54,"FRJ1","KLGA","KCLT",,"03:30",,
