"operator(color)","airline (callsign)","flight number","airplane type","from  (ICAO)","to (ICAO)","approach time","departure time","approach altitude override (feet)","special"
"TAB","TAB",600,"EJT1","KRDU","KBOS",,"04:45",,
"TAB","TAB",5220,"EJT1","KRDU","KDCA",,"05:07",,
"TAB","TAB",615,"EJT1","KRDU","KMDW",,"05:20",,
"TAB","TAB",3609,"EJT1","KRDU","KDFW",,"05:25",,
"TAB","TAB",1083,"EJT1","KRDU","KATL",,"05:45",,
"TAB","TAB",1135,"EJT1","KRDU","KATL",,"05:45",,
"TAB","TAB",1165,"EJT1","KRDU","KBWI",,"06:01",,
"TAB","TAB",891,"EJT1","KRDU","KIAD",,"06:01",,
"TAB","TAB",793,"EJT1","KRDU","KEWR",,"06:02",,
"TAB","TAB",1326,"EJT1","KRDU","KMSP",,"06:02",,
"TAB","TAB",708,"EJT1","KRDU","KSEA",,"06:01",,
"TAB","TAB",979,"EJT1","KRDU","KLGA",,"06:02",,
"TAB","TAB",89,"EJT1","KRDU","KCLT",,"06:01",,
"TAB","TAB",93,"EJT1","KRDU","KDTW",,"06:02",,
"TAB","TAB",94,"EJT1","KRDU","KLGA",,"06:05",,
"TAB","TAB",97,"EJT1","KRDU","KBOS",,"06:09",,
"VAL","VAL",6936,"EJT1","KRDU","KDCA",,"06:10",,
"VAL","VAL",4284,"EJT1","KRDU","KBNA",,"06:15",,
"VAL","VAL",67,"EJT1","KRDU","KORD",,"06:15",,
"VAL","VAL",6752,"EJT1","KRDU","KIAH",,"06:30",,
"VAL","VAL",966,"EJT1","KRDU","KLAX",,"06:39",,
"VAL","VAL",542,"EJT1","KRDU","KDAL",,"06:40",,
"VAL","VAL",162,"EJT1","KRDU","KBOS",,"06:40",,
"VAL","VAL",9657,"EJT1","KRDU","KHPN",,"06:45",,
"VAL","VAL",778,"EJT1","KRDU","KJFK",,"06:45",,
"VAL","VAL",342,"EJT1","KRDU","KATL",,"06:45",,
"DEN","DEN",4074,"FRJ1","KRDU","KFLL",,"06:45",,
"MAX","MAX",926,"FRJ1","KRDU","KMIA",,"06:50",,
"MAX","MAX",6612,"FRJ1","KRDU","KMIA",,"07:01",,
"VAL","VAL",1224,"FRJ1","KRDU","KFLL",,"07:02",,
"VAL","VAL",1226,"FRJ1","KRDU","CYYZ",,"07:01",,
"VAL","VAL",1228,"FRJ1","KRDU","KCLT",,"07:01",,
"TAB","TAB",2805,"FRJ1","KRDU","KDFW",,"07:01",,
"MAX","MAX",5493,"FRJ1","KRDU","KLAS",,"07:07",,
"MAX","MAX",5973,"FRJ1","KRDU","KORD",,"07:09",,
"MAX","MAX",5975,"FRJ1","KRDU","KEWR",,"07:10",,
"DEN","DEN",1970,"EJT1","KRDU","KTPA",,"07:10",,
"DEN","DEN",6149,"EJT1","KRDU","KJFK",,"07:10",,
"DEN","DEN",177,"EJT1","KRDU","KLGA",,"07:12",,
"DEN","DEN",7787,"EJT1","KRDU","KTPA",,"07:15",,
"DEN","DEN",145,"EJT1","KRDU","KBNA",,"07:25",,
"DEN","DEN",44,"EJT1","KRDU","KTTN",,"07:30",,
"DEN","DEN",1611,"EJT1","KRDU","KMKE",,"07:45",,
"DEN","DEN",824,"EJT1","KRDU","KDEN",,"07:49",,
"MAX","MAX",428,"FRJ1","KRDU","KAUS",,"07:51",,
"DEN","DEN",4144,"FRJ1","KRDU","KECP",,"08:01",,
"MAX","MAX",6545,"FRJ1","KRDU","KDCA",,"08:02",,
"MAX","MAX",4396,"FRJ1","KRDU","KPIT",,"08:05",,
"MAX","MAX",4400,"FRJ1","KRDU","KPHL",,"08:15",,
"MAX","MAX",4419,"FRJ1","KRDU","KEWR",,"08:24",,
"MAX","MAX",4430,"FRJ1","KRDU","KATL",,"08:30",,
"MAX","MAX",4435,"FRJ1","KRDU","KBNA",,"08:30",,
"MAX","MAX",4451,"FRJ1","KRDU","KDEN",,"08:31",,
"MAX","MAX",4536,"FRJ1","KRDU","KMIA",,"08:35",,
"MAX","MAX",4682,"FRJ1","KRDU","KJFK",,"08:47",,
"MAX","MAX",3070,"FRJ1","KRDU","KHVN",,"08:55",,
"MAX","MAX",21,"FRJ1","KRDU","KLGA",,"08:55",,
"MAX","MAX",8,"FRJ1","KRDU","KMCN",,"09:00",,
"MAX","MAX",3750,"FRJ1","KRDU","KLGA",,"09:05",,
"MAX","MAX",3796,"FRJ1","KRDU","KCLT",,"09:21",,
"MAX","MAX",638,"FRJ1","KRDU","KMCO",,"09:26",,
"VAL","VAL",9610,"EJT1","KRDU","CYYZ",,"09:45",,
