operator(color),airline (callsign),flight number,airplane type,from  (ICAO),to (ICAO),approach time,departure time,approach altitude override (feet),special
VAL,VAL,2232,FRJ1,TXKF,KJFK,,08:03,,
VAL,VAL,1443,FRJ1,TXKF,KMIA,,08:30,,
FRT,FRT,2077,EJT1,TXKF,KMIA,,08:43,,
PAV,PAV,536,BIZ0,KTEB,TXKF,10:33,,,
VAL,VAL,2034,EJT1,KATL,TXKF,10:45,,,
EMF,EMF,546,AJT0,TXKF,CYYZ,,19:30,,cargo
FRT,FRT,1218,FRJ1,KJFK,TXKF,11:01,,,
CBA,CBA,6249,AJT0,LPPD,TXKF,11:26,,,
TGB,TGB,617,EJT1,KJFK,TXKF,11:39,,,
MAX,MAX,1818,EJT1,CYYZ,TXKF,11:51,,,
EMF,EMF,245,AJT0,KEWR,TXKF,12:09,,,cargo
TAB,TAB,534,BIZ0,KISP,TXKF,12:16,,,
CBA,CBA,6248,AJT0,TXKF,LPPD,,12:48,,
FRT,FRT,1290,FRJ1,TXKF,KJFK,,12:59,,
MAX,MAX,1819,EJT1,TXKF,CYYZ,,13:31,,
VAL,VAL,584,FRJ1,KATL,TXKF,13:30,,,
PAV,PAV,6203,EJT1,KBOS,TXKF,13:40,,,
TGB,TGB,16,EJT1,TXKF,KCLT,,14:01,,
PAV,PAV,6204,FRJ1,KBOS,TXKF,14:03,,,
FRT,FRT,2044,EJT1,KCLT,TXKF,14:34,,,
VAL,VAL,2035,FRJ1,TXKF,KATL,,14:35,,
DEN,DEN,2720,EJT1,CYYZ,TXKF,14:39,,,
PAV,PAV,6205,FRJ1,TXKF,KBOS,,14:40,,
VAL,VAL,616,EJT1,TXKF,KJFK,,14:47,,
FRT,FRT,824,FRJ1,KPHL,TXKF,14:25,,,
FRT,FRT,1419,EJT1,KEWR,TXKF,14:56,,,
PAV,PAV,6206,EJT1,TXKF,KBOS,,15:03,,
FRT,FRT,825,FRJ1,TXKF,KPHL,,15:20,,
FRT,FRT,2045,EJT1,TXKF,KCLT,,15:49,,
PAV,PAV,684,BIZ0,KPVD,TXKF,15:45,,,
FRT,FRT,1416,EJT1,TXKF,KEWR,,15:56,,
TAB,TAB,836,BIZ0,TXKF,KTEB,,16:16,,
TAB,TAB,685,BIZ0,TXKF,KHPN,,16:51,,
PAV,PAV,699,BIZ0,KHPN,TXKF,16:49,,,
DEN,DEN,2721,EJT1,TXKF,CYYZ,,17:02,,
PAV,PAV,608,BIZ0,KOPF,TXKF,17:48,,,
DEN,DEN,2710,EJT1,CYYZ,TXKF,18:30,,,
CBA,CBA,159,AJT0,EGLL,TXKF,18:54,,,
PAV,PAV,512,BIZ0,TXKF,KTEB,,19:33,,
TAB,TAB,562,BIZ0,TXKF,KTEB,,19:44,,
EMF,EMF,246,AJT0,TXKF,KJFK,,19:52,,cargo
EMF,EMF,545,AJT0,CYYZ,TXKF,12:30,,,cargo
DEN,DEN,2711,EJT1,TXKF,CYYZ,,20:09,,
TAB,TAB,535,BIZ0,KHPN,TXKF,20:09,,,
CBA,CBA,158,AJT0,TXKF,EGLL,,21:03,,
VAL,VAL,308,FRJ1,KMIA,TXKF,21:38,,,
FRT,FRT,2832,EJT1,KMIA,TXKF,22:12,,,
VAL,VAL,2231,FRJ1,KJFK,TXKF,22:34,,,
